symbol,date,open,high,low,close,volume
EEM,2016-04-11,33.93,34.05,33.76,33.81,48896912
EEM,2016-04-12,33.93,34.44,33.78,34.33,56677565
EEM,2016-04-13,34.88,34.96,34.72,34.94,82110573
EEM,2016-04-14,34.88,34.91,34.72,34.77,37442047
EEM,2016-04-15,34.73,34.79,34.56,34.57,47181598
EEM,2016-04-18,34.45,34.9,34.38,34.73,43192215
EEM,2016-04-19,35.07,35.34,35.02,35.26,58343015
EEM,2016-04-20,34.98,35.28,34.85,35.1,43801297
EEM,2016-04-21,35.01,35.01,34.68,34.75,51705131
EEM,2016-04-22,34.61,34.85,34.51,34.54,35624200
EEM,2016-04-25,34.52,34.52,34.26,34.32,33310995
EEM,2016-04-26,34.58,34.7,34.48,34.69,33198533
EEM,2016-04-27,34.55,34.96,34.45,34.9,48912653
EEM,2016-04-28,34.55,34.85,34.46,34.54,43193708
EEM,2016-04-29,34.44,34.58,34.11,34.39,68869949
EEM,2016-05-02,34.39,34.4,34.14,34.3,32668144
EEM,2016-05-03,33.65,33.71,33.32,33.33,81948878
EEM,2016-05-04,33.12,33.18,32.77,32.79,90936992
EEM,2016-05-05,33.11,33.15,32.68,32.78,71069721
EEM,2016-05-06,32.67,32.97,32.64,32.83,69922248
EEM,2016-05-09,32.76,32.77,32.32,32.41,66219168
EEM,2016-05-10,32.77,33.05,32.76,33.03,55466448
EEM,2016-05-11,33.0,33.18,32.87,32.95,48109634
EEM,2016-05-12,33.14,33.2,32.74,32.86,54275774
EEM,2016-05-13,32.58,32.72,32.2,32.27,52208706
EEM,2016-05-16,32.59,32.77,32.58,32.66,41613607
EEM,2016-05-17,32.59,32.75,32.42,32.51,54265968
EEM,2016-05-18,32.29,32.63,32.01,32.19,78930006
EEM,2016-05-19,31.92,32.0,31.7,31.89,63825455
EEM,2016-05-20,32.19,32.3,32.15,32.21,42303199
EEM,2016-05-23,32.14,32.35,32.12,32.15,41561384
EEM,2016-05-24,32.32,32.55,32.29,32.48,45933744
EEM,2016-05-25,32.78,33.02,32.77,32.87,44187908
EEM,2016-05-26,33.12,33.19,32.91,33.09,43804496
EEM,2016-05-27,33.21,33.28,32.99,33.08,40495776
EEM,2016-05-31,33.16,33.3,31.2,33.12,81522665
EEM,2016-06-01,32.99,33.17,32.91,33.1,46810105
EEM,2016-06-02,33.07,33.41,33.02,33.37,37136106
EEM,2016-06-03,33.78,33.89,33.52,33.88,77482642
EEM,2016-06-06,34.01,34.3,33.98,34.24,102562773
EEM,2016-06-07,34.46,34.59,34.43,34.55,50648297
EEM,2016-06-08,34.78,34.86,33.74,34.8,60179372
EEM,2016-06-09,34.33,34.48,34.28,34.4,41938750
EEM,2016-06-10,33.7,33.85,33.45,33.53,69381000
EEM,2016-06-13,33.09,33.37,33.02,33.06,49378354
EEM,2016-06-14,32.96,33.12,32.68,32.95,60239582
EEM,2016-06-15,33.29,33.59,33.18,33.3,56655104
EEM,2016-06-16,32.7,33.21,32.49,33.18,62219366
EEM,2016-06-17,33.24,33.29,33.02,33.27,46163253
EEM,2016-06-20,33.9,34.08,33.82,33.86,63474056
EEM,2016-06-21,34.02,34.22,33.83,34.12,59002978
EEM,2016-06-22,34.08,34.16,33.88,33.94,60223057
EEM,2016-06-23,34.4,34.76,34.25,34.76,57009310
EEM,2016-06-24,32.76,33.46,32.57,32.64,130220095
EEM,2016-06-27,32.5,32.51,31.89,32.23,85372494
EEM,2016-06-28,33.0,33.2,32.88,33.18,56719008
EEM,2016-06-29,33.82,34.02,33.76,34.02,71295777
EEM,2016-06-30,34.17,34.45,34.01,34.36,76955139
EEM,2016-07-01,34.62,34.75,34.54,34.69,52978443
EEM,2016-07-05,34.2,34.24,33.9,33.95,50467107
EEM,2016-07-06,33.49,33.86,33.32,33.86,52058409
EEM,2016-07-07,34.03,34.12,33.67,33.77,46372333
EEM,2016-07-08,34.16,34.51,34.11,34.5,64919434
EEM,2016-07-11,34.79,34.95,34.76,34.83,61879362
EEM,2016-07-12,35.29,35.43,35.18,35.32,76601948
EEM,2016-07-13,35.33,35.35,35.03,35.26,52716848
EEM,2016-07-14,35.65,35.87,35.57,35.77,86137949
EEM,2016-07-15,35.73,35.77,35.55,35.69,61954730
EEM,2016-07-18,35.58,36.02,35.58,36.01,58507689
EEM,2016-07-19,35.69,35.76,35.52,35.64,47366017
EEM,2016-07-20,35.72,35.9,35.62,35.82,39633643
EEM,2016-07-21,35.74,35.89,35.61,35.7,49554649
EEM,2016-07-22,35.83,35.98,35.72,35.97,39005072
EEM,2016-07-25,35.84,35.85,35.58,35.61,36361303
EEM,2016-07-26,35.81,35.96,35.75,35.89,56313943
EEM,2016-07-27,35.95,36.12,35.65,36.01,54980762
EEM,2016-07-28,35.95,36.02,35.79,36.02,34493016
EEM,2016-07-29,36.03,36.25,35.87,36.2,67150620
EEM,2016-08-01,36.3,36.36,36.09,36.14,49567439
EEM,2016-08-02,36.08,36.17,35.62,35.88,66737957
EEM,2016-08-03,35.63,36.02,35.55,36.0,37384794
EEM,2016-08-04,36.1,36.35,36.02,36.2,63961228
EEM,2016-08-05,36.46,36.66,36.36,36.62,42583725
EEM,2016-08-08,36.86,36.96,36.82,36.88,36145892
EEM,2016-08-09,37.02,37.28,37.01,37.13,51923209
EEM,2016-08-10,37.32,37.34,37.03,37.14,47309551
EEM,2016-08-11,37.29,37.64,37.24,37.62,65101320
EEM,2016-08-12,37.5,37.6,37.33,37.48,46745052
EEM,2016-08-15,37.76,37.98,37.75,37.87,45056337
EEM,2016-08-16,37.79,37.79,37.57,37.7,53991324
EEM,2016-08-17,37.41,37.56,37.09,37.46,78584776
