date,AAPL,MSFT,NVDA,AVGO,AMD,ADBE,CRM,CSCO,INTC,ORCL,QCOM,TXN,SPY,XLK,QQQ
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0008949989493296179,0.0040946029463278955,0.010077645365204353
2020-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0002517209114776877,0.008040120261192451,0.0063517116705382876
2020-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,-0.0009038909744848618,0.012041997514803197,0.003214568016242902
2020-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,-1.6915878605002805e-05,0.013334250882682759,0.0011332822564723486
2020-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.001746088036476409,0.011563778931552512,0.0013509063773356168
2020-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.002936320670287146,0.013033028434028216,-0.0014577698193946765
2020-07-10,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009402736528043649,0.021166536466807252,-0.016419593874692044
2020-07-13,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009129836495106689,0.021698755500534017,-0.01677632123993779
2020-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2020-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2020-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2020-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2020-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2020-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
2020-07-23,0.0,0.0,0.0,0.05,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019286232227619958,-0.011670703865966187,0.030582190619762483
2020-07-24,0.05,0.0,0.0,0.05,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017425894973779082,-0.021942968328803953,0.027938673086329822
2020-07-27,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,-0.007855345152635789,-0.04098712316427235,0.009200822743480183
2020-07-28,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005786017881889649,-0.028886897461677837,0.008708733731712156
2020-07-29,0.05,-0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012982951685306558,-0.01528360337672636,0.014840285127852735
2020-07-30,0.05,-0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012675387069584616,-0.015490897539734943,0.014760843588236183
2020-07-31,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,-0.004782642813078604,-0.009780246742586172,0.002763719544827851
2020-08-03,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,-0.0047607605111586425,-0.006197334013591854,0.011539730820903597
2020-08-04,-0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,-0.05,0.0,-0.019048100055072695,0.004403367547817101,0.016327866995693684
2020-08-05,-0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,-0.05,0.0,-0.018614601665187032,0.004529495996674045,0.01610503950295366
2020-08-06,-0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,-0.05,0.0,-0.018716503130740886,0.004362644010998021,0.01644101807875814
2020-08-07,-0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,-0.05,0.0,-0.018963105614920116,0.004750500095678281,0.016038218121628763
2020-08-10,-0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,-0.05,0.0,-0.019221243416261007,0.0065421947016783746,0.01505403247353155
2020-08-11,-0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,-0.05,0.0,-0.019045809599848296,0.006655828593928222,0.015160433894834395
2020-08-12,-0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,-0.05,0.0,-0.025221783386190248,0.003667777372991043,0.015210330070559278
2020-08-13,-0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.05,-0.05,0.0,-0.021198205308537922,-0.014964804673137367,0.018470045717102892
2020-08-14,-0.05,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.05,-0.05,0.0,-0.024544212034699232,-0.012266982755376903,0.017849971085541896
2020-08-17,-0.05,0.0,-0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.05,-0.05,0.0,-0.03614856518182686,-0.004353713639350665,0.03454406512187641
2020-08-18,-0.05,0.0,-0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.05,-0.05,0.0,-0.03601007556673657,-0.0052593911099298556,0.0352010499545527
2020-08-19,-0.05,0.0,-0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.05,-0.05,0.0,-0.04155273911793142,0.012140144930658247,0.03470821463668955
2020-08-20,-0.05,0.05,-0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.024596740204413818,-0.021502740798818983,0.03563478027851443
2020-08-21,-0.05,0.05,-0.05,0.05,0.0,0.0,-0.05,0.05,0.0,0.0,0.0,0.0,-0.027256696541966906,-0.010962252922610162,0.04048965525317435
2020-08-24,-0.05,0.05,-0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.02306394201558286,-0.014902834184844043,0.027851425204323876
2020-08-25,-0.05,0.05,-0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.024361639157778427,-0.01588691684039361,0.030635595325780852
2020-08-26,-0.05,0.05,-0.05,0.05,0.0,0.0,-0.05,0.05,0.0,0.0,0.0,0.0,-0.03233542170956047,-0.003730016784437193,0.038631302353568577
2020-08-27,0.0,0.05,0.0,0.05,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,-0.008115844491998698,-0.028337865213167338,0.02486756775786225
2020-08-28,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001735760171081055,-0.03141566266198363,0.005023965384665477
2020-08-31,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005127903513713114,-0.016150206067629874,0.009156956852919446
2020-09-01,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012513436525959489,-0.032502823126821526,0.006431645080566284
2020-09-02,0.0,0.05,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.995246051499457e-05,-0.008642221939991297,0.010445635729313365
