symbol,return_obs,residual_obs,trend_score_obs,displacement_score_obs,relative_volume_obs,target_obs
AAPL,1507,1447,1427,1387,1448,902
MSFT,1507,1447,1427,1387,1448,844
NVDA,1507,1447,1427,1387,1448,930
AVGO,1507,1447,1427,1387,1448,844
AMD,1507,1447,1427,1387,1448,915
ADBE,1507,1447,1427,1387,1448,921
CRM,1507,1447,1427,1387,1448,880
CSCO,1507,1447,1427,1387,1448,881
INTC,1507,1447,1427,1387,1448,893
ORCL,1507,1447,1427,1387,1448,855
QCOM,1507,1447,1427,1387,1448,812
TXN,1507,1447,1427,1387,1448,846
