date,AAPL,MSFT,NVDA,AVGO,AMD,ADBE,CRM,CSCO,INTC,ORCL,QCOM,TXN
2020-01-02,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,
2020-01-07,,,,,,,,,,,,
2020-01-08,,,,,,,,,,,,
2020-01-09,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,
2020-01-14,,,,,,,,,,,,
2020-01-15,,,,,,,,,,,,
2020-01-16,,,,,,,,,,,,
2020-01-17,,,,,,,,,,,,
2020-01-21,,,,,,,,,,,,
2020-01-22,,,,,,,,,,,,
2020-01-23,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,
2020-01-28,,,,,,,,,,,,
2020-01-29,,,,,,,,,,,,
2020-01-30,,,,,,,,,,,,
2020-01-31,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,
2020-02-04,,,,,,,,,,,,
2020-02-05,,,,,,,,,,,,
2020-02-06,,,,,,,,,,,,
2020-02-07,,,,,,,,,,,,
2020-02-10,,,,,,,,,,,,
2020-02-11,,,,,,,,,,,,
2020-02-12,,,,,,,,,,,,
2020-02-13,,,,,,,,,,,,
2020-02-14,,,,,,,,,,,,
2020-02-18,,,,,,,,,,,,
2020-02-19,,,,,,,,,,,,
2020-02-20,,,,,,,,,,,,
2020-02-21,,,,,,,,,,,,
2020-02-24,,,,,,,,,,,,
2020-02-25,,,,,,,,,,,,
2020-02-26,,,,,,,,,,,,
2020-02-27,,,,,,,,,,,,
2020-02-28,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,,
2020-03-18,,,,,,,,,,,,
2020-03-19,,,,,,,,,,,,
2020-03-20,,,,,,,,,,,,
2020-03-23,,,,,,,,,,,,
2020-03-24,,,,,,,,,,,,
2020-03-25,,,,,,,,,,,,
2020-03-26,,,,,,,,,,,,
2020-03-27,,,,,,,,,,,,
2020-03-30,,,,,,,,,,,,
2020-03-31,,,,,,,,,,,,
2020-04-01,,,,,,,,,,,,
2020-04-02,,,,,,,,,,,,
2020-04-03,,,,,,,,,,,,
2020-04-06,,,,,,,,,,,,
2020-04-07,,,,,,,,,,,,
2020-04-08,,,,,,,,,,,,
2020-04-09,,,,,,,,,,,,
2020-04-13,,,,,,,,,,,,
2020-04-14,,,,,,,,,,,,
2020-04-15,,,,,,,,,,,,
2020-04-16,,,,,,,,,,,,
2020-04-17,,,,,,,,,,,,
2020-04-20,,,,,,,,,,,,
2020-04-21,,,,,,,,,,,,
2020-04-22,,,,,,,,,,,,
2020-04-23,,,,,,,,,,,,
2020-04-24,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,
2020-04-28,,,,,,,,,,,,
2020-04-29,,,,,,,,,,,,
2020-04-30,,,,,,,,,,,,
2020-05-01,,,,,,,,,,,,
2020-05-04,,,,,,,,,,,,
2020-05-05,,,,,,,,,,,,
2020-05-06,,,,,,,,,,,,
2020-05-07,,,,,,,,,,,,
2020-05-08,,,,,,,,,,,,
2020-05-11,,,,,,,,,,,,
2020-05-12,,,,,,,,,,,,
2020-05-13,,,,,,,,,,,,
2020-05-14,,,,,,,,,,,,
2020-05-15,,,,,,,,,,,,
2020-05-18,,,,,,,,,,,,
2020-05-19,,,,,,,,,,,,
2020-05-20,,,,,,,,,,,,
2020-05-21,,,,,,,,,,,,
2020-05-22,,,,,,,,,,,,
2020-05-26,,,,,,,,,,,,
2020-05-27,,,,,,,,,,,,
2020-05-28,,,,,,,,,,,,
2020-05-29,,,,,,,,,,,,
2020-06-01,,,,,,,,,,,,
2020-06-02,,,,,,,,,,,,
2020-06-03,,,,,,,,,,,,
2020-06-04,,,,,,,,,,,,
2020-06-05,,,,,,,,,,,,
2020-06-08,,,,,,,,,,,,
2020-06-09,,,,,,,,,,,,
2020-06-10,,,,,,,,,,,,
2020-06-11,,,,,,,,,,,,
2020-06-12,,,,,,,,,,,,
2020-06-15,,,,,,,,,,,,
2020-06-16,,,,,,,,,,,,
2020-06-17,,,,,,,,,,,,
2020-06-18,,,,,,,,,,,,
2020-06-19,,,,,,,,,,,,
2020-06-22,,,,,,,,,,,,
2020-06-23,,,,,,,,,,,,
2020-06-24,,,,,,,,,,,,
2020-06-25,1.9972118984023184,-0.49263108807278144,-1.1432239203618644,0.05846616209335982,-1.4056775660263812,2.6361643314725662,1.2778653475703086,-1.9197761381288234,-1.5986197213109665,-0.8234978349485971,1.4813582183139196,0.45447901227486953
2020-06-26,1.8872833269946883,-0.449721968472056,-0.8929275895998117,-0.26750381584247007,-1.5745266227514578,2.4718581657556533,1.2752413661992215,-1.8201604060990053,-1.8306645417791558,-0.8836991982185259,0.8724932982178504,0.2846006925068469
2020-06-29,1.3147351546701336,-0.4720128612902626,-1.1556729658491678,0.4301077672012969,-1.6213161530583604,2.2083896236590634,1.0716942965467586,-0.2819895852277827,-1.6783075314959888,-0.7497905320432572,1.215222604718545,0.5627796132493503
2020-06-30,1.6433317767612847,-0.42972698208558713,-1.3897155406550425,0.2618557857124818,-1.6171024547896256,1.355477715081942,0.7369947167412673,-0.688915851984185,-1.5580814546182176,-0.6487809436407882,1.1603586298585193,0.5667506532652892
2020-07-01,1.2535737688664421,-0.18387704860554785,-1.1119540724287404,0.2646963583843959,-1.2766744099455256,1.5981273947505146,0.7895510376892734,-0.8099078570877246,-1.3547817889332558,-0.6526515693353353,1.3128836678184006,0.5380130450012354
2020-07-02,1.0233139705735677,-0.04023095076055151,-1.0839708060162536,-0.1381384320771141,-1.232628281838857,1.819130598165975,1.4718370349782852,-1.2212950088163985,-1.5553319589767416,-0.5461077119532557,0.6409498015001341,-0.024899789165226387
2020-07-06,0.7355711946579517,0.0441354981759082,-1.042674286268281,-0.015217091691622012,-1.276822675403958,1.7339625594001544,1.3362444281355592,-1.6355085445261301,-1.477777799887995,-0.42391034185652726,1.2243781368567268,0.08752043117794711
