date,AAPL,MSFT,NVDA,AVGO,AMD,ADBE,CRM,CSCO,INTC,ORCL,QCOM,TXN
2023-11-14,,0.0,,,,1.0,,0.0,,,1.0,0.0
2023-11-15,,0.0,,,,1.0,,0.0,,1.0,1.0,0.0
2023-11-16,,,,,,0.0,0.0,1.0,,0.0,0.0,
2023-11-17,,,,0.0,,0.0,,1.0,1.0,,1.0,
2023-11-20,,,0.0,,,1.0,,0.0,1.0,,0.0,
2023-11-21,,,0.0,,,0.0,,1.0,0.0,,0.0,
2023-11-22,,,,,,0.0,0.0,0.0,0.0,,0.0,
2023-11-24,,,1.0,0.0,,0.0,,0.0,1.0,,1.0,
2023-11-27,,,0.0,1.0,,,1.0,1.0,0.0,,1.0,
2023-11-28,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,
2023-11-29,,,0.0,1.0,,1.0,1.0,0.0,1.0,,1.0,
2023-11-30,,,1.0,1.0,,1.0,1.0,0.0,0.0,,1.0,
2023-12-01,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,,
2023-12-04,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,1.0
2023-12-05,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,0.0
2023-12-06,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,1.0
2023-12-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0
2023-12-08,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0
2023-12-11,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,,1.0
2023-12-12,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2023-12-13,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,,1.0
2023-12-14,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0
2023-12-15,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,0.0,1.0,0.0
2023-12-18,,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,0.0,0.0
2023-12-19,,1.0,1.0,0.0,1.0,0.0,0.0,,,0.0,1.0,1.0
2023-12-20,,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0
2023-12-21,,1.0,0.0,0.0,1.0,1.0,1.0,,,0.0,1.0,1.0
2023-12-22,,0.0,,0.0,0.0,1.0,0.0,,,0.0,1.0,1.0
2023-12-26,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,1.0,1.0,1.0
2023-12-27,0.0,1.0,,0.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0
2023-12-28,0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,1.0
2023-12-29,1.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0
2024-01-02,1.0,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0
2024-01-03,0.0,0.0,,0.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0
2024-01-04,1.0,1.0,,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0
2024-01-05,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0
2024-01-08,0.0,1.0,1.0,0.0,1.0,1.0,,0.0,0.0,0.0,,1.0
2024-01-09,1.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,1.0,,0.0
2024-01-10,1.0,,1.0,,0.0,1.0,,1.0,0.0,1.0,,0.0
2024-01-11,1.0,,1.0,,0.0,0.0,,1.0,0.0,,,0.0
2024-01-12,1.0,,0.0,,0.0,1.0,0.0,0.0,,,0.0,0.0
2024-01-16,1.0,,1.0,,1.0,,0.0,1.0,,,0.0,
2024-01-17,0.0,,1.0,,1.0,,,0.0,1.0,,1.0,
2024-01-18,0.0,,0.0,,0.0,,,1.0,1.0,,0.0,
2024-01-19,1.0,,1.0,,1.0,0.0,,1.0,1.0,,,
2024-01-22,0.0,,0.0,,0.0,1.0,,1.0,1.0,,,1.0
2024-01-23,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,0.0
2024-01-24,1.0,,1.0,,1.0,0.0,,0.0,1.0,1.0,,
2024-01-25,1.0,,0.0,0.0,1.0,0.0,,1.0,0.0,1.0,,
2024-01-26,0.0,,1.0,,1.0,,,1.0,1.0,1.0,,
2024-01-29,1.0,,1.0,,0.0,,,1.0,1.0,0.0,1.0,
2024-01-30,1.0,,1.0,,0.0,,,1.0,1.0,1.0,1.0,
2024-01-31,0.0,,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0
2024-02-01,0.0,,1.0,,0.0,,,,1.0,1.0,1.0,
2024-02-02,1.0,,1.0,,,,,,1.0,0.0,1.0,1.0
2024-02-05,0.0,0.0,1.0,,,,,,0.0,1.0,0.0,1.0
2024-02-06,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0
2024-02-07,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0
2024-02-08,1.0,0.0,0.0,1.0,,,,,1.0,0.0,0.0,0.0
