,trend,trend,trend,trend,mean_reversion,mean_reversion,mean_reversion,mean_reversion,flat,flat,flat,flat
,gross_pnl,transaction_cost,net_pnl,turnover,gross_pnl,transaction_cost,net_pnl,turnover,gross_pnl,transaction_cost,net_pnl,turnover
date,,,,,,,,,,,,
2021-12-08,0.0,0.0,0.0,0.0,0.00021188600420107338,5.458152596842121e-05,0.00015730447823265217,0.10916305193684242,0.0,0.0,0.0,0.0
2021-12-09,-0.00022836407555311178,4.7963621938311407e-05,-0.00027632769749142316,0.09685194989854144,-0.0003679930981709376,2.3006761866175286e-07,-0.0003682231657895993,0.0004645707845951155,0.0,0.0,0.0,0.0
2021-12-10,-0.00047943977155940915,8.138243428776124e-08,-0.0004795211539936969,0.0006517171507797459,7.435046764070908e-05,1.355644136068431e-07,7.421490322710223e-05,0.0010856108465689546,0.0,0.0,0.0,0.0
2021-12-13,0.0,3.0000832342251482e-05,-3.0000832342251482e-05,0.0962002327477617,0.0003026530369403946,2.6158903783434735e-05,0.00027649413315695986,0.08388076049638926,0.0,0.0,0.0,0.0
2021-12-14,0.0,0.0,0.0,0.0,-0.0011192330029650554,5.6904708594072215e-05,-0.0011761377115591277,0.11380941718814443,0.0,0.0,0.0,0.0
2021-12-15,0.0,0.0,0.0,0.0,-0.0018890164790078532,5.041808293686904e-05,-0.0019394345619447222,0.10083616587373807,0.0,0.0,0.0,0.0
2021-12-16,0.0,0.0,0.0,0.0,-0.0007056178154483804,2.2150425288097187e-06,-0.0007078328579771902,0.004430085057619437,0.0,0.0,0.0,0.0
2021-12-17,0.0005600475925738366,8.025094942851551e-05,0.00047979664314532107,0.160501898857031,0.0034082577578022346,4.7694648000113205e-05,0.0033605631098021214,0.0953892960002264,0.0,0.0,0.0,0.0
2021-12-20,0.001003176279571842,6.565372456920045e-05,0.0009375225550026415,0.13130744913840092,-0.00034139253502237215,9.018136246868897e-05,-0.0004315738974910611,0.18036272493737796,0.0,0.0,0.0,0.0
2021-12-21,0.00014717696785999186,4.756174109859165e-07,0.00014670135044900595,0.0009512348219718331,-0.0002731394216061332,4.891916790346856e-05,-0.00032205858950960174,0.09783833580693713,0.0,0.0,0.0,0.0
2021-12-22,0.0004970396173737448,1.2820098701330532e-08,0.0004970267972750434,0.000545473540132662,-0.0006402559588831476,1.4084772720497733e-08,-0.0006402700436558682,0.000599283282976322,0.0,0.0,0.0,0.0
2021-12-23,0.0004023403052178652,1.70950310292269e-07,0.0004021693549075729,0.0014045773189864871,-0.00023306267442747947,1.04017867741746e-07,-0.00023316669229522121,0.0008546409629184501,0.0,0.0,0.0,0.0
2021-12-27,-0.0003425709088978341,6.520374667931124e-05,-0.0004077746555771454,0.13049825349019653,-0.00013502159141186884,2.268213981182962e-08,-0.00013504427355168067,4.539585195038193e-05,0.0,0.0,0.0,0.0
2021-12-28,-0.00014048652478159453,5.605720246930277e-07,-0.00014104709680628756,0.0011211440493860553,0.0,5.194785023363186e-05,-5.194785023363186e-05,0.10389570046726372,0.0,0.0,0.0,0.0
2021-12-29,0.00022697668806031932,4.739503947755274e-07,0.00022650273766554378,0.0009745561953784926,-0.00031997295514490167,3.418253141013642e-05,-0.0003541554865550381,0.07028751980520238,0.0,0.0,0.0,0.0
2021-12-30,0.0,4.9673438658366626e-05,-4.9673438658366626e-05,0.09934687731673324,0.00016864249561267735,4.71849835889911e-05,0.00012145751202368625,0.0943699671779822,0.0,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0,0.0,5.732437027359882e-05,1.3339624493017428e-07,5.719097402866865e-05,0.00026679248986034854,0.0,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0,0.0,-0.0004500908289600539,2.943657804901564e-07,-0.0004503851947405441,0.0005887315609803129,0.0,0.0,0.0,0.0
2022-01-04,-0.0005208874712306062,4.671103257439469e-05,-0.000567598503805001,0.09397083418770005,0.0014789890879806954,1.3679050029717061e-07,0.0014788522974803983,0.0002751880383163319,0.0,0.0,0.0,0.0
2022-01-05,0.0,4.698541709385003e-05,-4.698541709385003e-05,0.09397083418770005,-0.00010944051830227711,3.4286694898962716e-05,-0.00014372721320123983,0.06857338979792542,0.0,0.0,0.0,0.0
2022-01-06,-0.0006522699801895536,5.7422434101513776e-05,-0.0007096924142910673,0.11484486820302757,0.0006053250809709682,1.37708667514759e-08,0.0006053113101042167,2.7541733502951804e-05,0.0,0.0,0.0,0.0
2022-01-07,-0.0020391970923701527,4.506894148235901e-05,-0.002084266033852512,0.09063609609091818,-0.0004830524884979145,1.242100126785819e-07,-0.0004831766985105931,0.00024979310084299877,0.0,0.0,0.0,0.0
2022-01-10,0.0013185946340985126,0.00010206371225357513,0.0012165309218449376,0.2044523838716326,2.6489914131592833e-06,8.117522792482456e-08,2.5678161852344587e-06,0.00016260890863267763,0.0,0.0,0.0,0.0
2022-01-11,0.00035810149624338427,1.0541002374247795e-06,0.0003570473960059595,0.002108200474849553,-0.00027116892199049514,1.455859187800526e-07,-0.00027131450790927517,0.0002911718375601044,0.0,0.0,0.0,0.0
2022-01-12,-0.0005976840367070813,5.7241562196214295e-05,-0.0006549255989032955,0.11497386557279708,9.369554058641396e-05,1.2242290724097795e-07,9.357311767917299e-05,0.00024589536588653926,0.0,0.0,0.0,0.0
2022-01-13,0.001026385253069541,2.7607221480297104e-08,0.0010263576458480607,5.521444296059316e-05,-0.00027758342038498927,6.437977703776504e-08,-0.00027764780016202703,0.00012875955407552764,0.0,0.0,0.0,0.0
2022-01-14,-3.2743451842089766e-05,1.0270839789231067e-06,-3.3770535821012875e-05,0.003070441332823113,0.00013735595300677726,2.0368345027695842e-07,0.0001371522695565003,0.0006089064744229794,0.0,0.0,0.0,0.0
2022-01-18,-7.534860802384605e-05,1.6752975797632437e-08,-7.536536099964368e-05,3.353093452310163e-05,0.000131117452600432,4.495339129296766e-05,8.616406130746434e-05,0.08997381947205368,0.0,0.0,0.0,0.0
2022-01-19,-0.001426026378304169,1.304377563599039e-08,-0.001426039422079805,0.00015929439433481907,0.0009455225517674363,1.8152824958983367e-08,0.0009455043989424773,0.00022168759552476658,0.0,0.0,0.0,0.0
2022-01-20,-0.0011108166167330008,4.813477741778759e-05,-0.0011589513941507883,0.09821181660346634,0.0007583333682788854,4.807161590477791e-07,0.0007578526521198376,0.00098082944979562,0.0,0.0,0.0,0.0
2022-01-21,0.0006208368892719147,1.600900571396825e-07,0.000620676799214775,0.0013268795167387867,-0.0017632376688661265,9.784865212353433e-08,-0.00176333551751825,0.0008110020982123461,0.0,0.0,0.0,0.0
2022-01-24,-0.00025316334533389965,1.806351828802585e-07,-0.0002533439805167799,0.0005568543914087308,-7.456701337855997e-05,8.479508122839133e-07,-7.541496419084389e-05,0.002614026381737078,0.0,0.0,0.0,0.0
2022-01-25,-0.00011763934221312557,6.219318494323272e-05,-0.00017983252715635827,0.12438636988646541,-0.00019496430342340592,3.580032938672179e-08,-0.00019500010375279265,7.160065877344357e-05,0.0,0.0,0.0,0.0
2022-01-26,-0.0015323290921208787,5.66710927100598e-05,-0.0015890001848309384,0.1133421854201196,-0.0007133778626970967,3.3583836418200897e-07,-0.0007137137010612786,0.0006716767283640179,0.0,0.0,0.0,0.0
2022-01-27,-0.0028685596488586254,6.631075184972054e-07,-0.0028692227563771227,0.001326215036994427,0.0005486706164240082,4.7226799217034553e-07,0.0005481983484318378,0.0009445359843407025,0.0,0.0,0.0,0.0
2022-01-28,-0.001159068538782523,4.06015987829689e-05,-0.0011996701375654919,0.08120319756593779,-0.0003771328837255143,1.4318141063614233e-07,-0.00037727606513615044,0.00028636282127228463,0.0,0.0,0.0,0.0
2022-01-31,0.000800103984765668,6.237353169605618e-05,0.0007377304530696118,0.12474706339211238,0.0002601167026454838,4.266446455865117e-07,0.0002596900579998973,0.0008532892911730233,0.0,0.0,0.0,0.0
2022-02-01,-0.00027175612015563203,8.733351782161662e-07,-0.0002726294553338482,0.0017466703564323269,-0.0002255540395689468,2.6077993120007887e-07,-0.00022581481950014688,0.0005215598624001561,0.0,0.0,0.0,0.0
2022-02-02,-0.0020611719728405417,4.939818048630583e-08,-0.002061221371021028,9.879636097261113e-05,-0.0014133679160484183,6.030443950203361e-07,-0.0014139709604434386,0.0012060887900406658,0.0,0.0,0.0,0.0
2022-02-03,-0.0009855423104243243,4.7673437667084475e-07,-0.0009860190448009953,0.0009534687533416936,0.0016044833191892522,3.4150164649572457e-07,0.0016041418175427565,0.000683003292991452,0.0,0.0,0.0,0.0
2022-02-04,0.0012434591154443166,3.0062019635752204e-07,0.001243158495247959,0.0012116390610889538,0.0017201585268235458,8.928397219917124e-07,0.001719265687101554,0.0035985588977874156,0.0,0.0,0.0,0.0
2022-02-07,-9.644651582837413e-05,2.77950400235448e-07,-9.672446622860958e-05,0.000555900800470896,3.1792448693755e-05,2.839221840105766e-07,3.1508526509744424e-05,0.0005678443680211531,0.0,0.0,0.0,0.0
2022-02-08,0.0,5.614068311380234e-05,-5.614068311380234e-05,0.11327797369721566,-0.0005767704724650826,2.480510191195227e-07,-0.0005770185234842021,0.0005005054313719365,0.0,0.0,0.0,0.0
2022-02-09,0.0,0.0,0.0,0.0,0.0006727611139599962,4.5849934755439123e-05,0.0006269111792045571,0.09169986951087825,0.0,0.0,0.0,0.0
2022-02-10,0.0,0.0,0.0,0.0,0.0,4.9745327525045414e-05,-4.9745327525045414e-05,0.09949065505009083,0.0,0.0,0.0,0.0
2022-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-15,0.0,0.0,0.0,0.0,-3.287884135232794e-05,4.733085577721947e-05,-8.020969712954741e-05,0.09466171155443893,0.0,0.0,0.0,0.0
2022-02-16,0.0,0.0,0.0,0.0,0.0006636548863169412,1.7091975118723597e-07,0.000663483966565754,0.0003418395023744719,0.0,0.0,0.0,0.0
2022-02-17,0.0,0.0,0.0,0.0,0.00026547609719173573,3.9476129511682724e-08,0.000265436621062224,7.895225902336545e-05,0.0,0.0,0.0,0.0
2022-02-18,0.0,0.0,0.0,0.0,0.0010752856481524116,2.867768939555024e-07,0.001074998871258456,0.0005735537879110048,0.0,0.0,0.0,0.0
2022-02-22,0.0,0.0,0.0,0.0,0.0003861035684672815,2.5199783535170826e-07,0.00038585157063192977,0.0005039956707034166,0.0,0.0,0.0,0.0
2022-02-23,0.0,0.0,0.0,0.0,0.0,4.658168516721334e-05,-4.658168516721334e-05,0.09316337033442668,0.0,0.0,0.0,0.0
2022-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,0.0,0.0,0.0,0.0,-2.4808891370040032e-05,5.820653872902304e-05,-8.301543009906307e-05,0.11641307745804608,0.0,0.0,0.0,0.0
2022-02-28,0.0,0.0,0.0,0.0,-0.000702937408368883,1.4411919638696035e-07,-0.0007030815275652699,0.0002882383927739207,0.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,-0.0008765311122970901,1.6772376239280254e-06,-0.0008782083499210181,0.0033544752478560508,0.0,0.0,0.0,0.0
2022-03-02,0.0,0.0,0.0,0.0,0.0009516683350246635,8.2807175488896e-07,0.0009508402632697746,0.00165614350977792,0.0,0.0,0.0,0.0
2022-03-03,0.0,0.0,0.0,0.0,0.0006319283323556926,2.756114696066021e-07,0.000631652720886086,0.0005512229392132043,0.0,0.0,0.0,0.0
2022-03-04,0.0,0.0,0.0,0.0,-0.0010705009989612415,4.554182912070026e-05,-0.0011160428280819418,0.09108365824140052,0.0,0.0,0.0,0.0
2022-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2016466556098255,0.0,0.0,0.0,0.0
2022-03-08,0.0,0.0,0.0,0.0,-0.0006250729425230046,9.515112207968414e-05,-0.0007202240646026888,0.19030224415936828,0.0,0.0,0.0,0.0
2022-03-09,-0.00031466836582568804,7.248205449575242e-05,-0.00038715042032144047,0.14496410899150486,-0.00024813906962192723,3.9869943176160106e-08,-0.0002481789395651034,7.973988635232021e-05,0.0,0.0,0.0,0.0
2022-03-10,0.0009296027129155686,7.697541865887249e-07,0.0009288329587289799,0.0019112510045708325,-0.001172464618330015,8.292390616794813e-08,-0.001172547542236183,0.00020589481905748663,0.0,0.0,0.0,0.0
2022-03-11,0.0004403043307209908,3.99381520065759e-07,0.0004399049492009251,0.0018328467765923173,8.007780034204504e-05,1.5693585421304755e-07,7.9920864487832e-05,0.0007202120280347113,0.0,0.0,0.0,0.0
2022-03-14,0.0,7.196439787616464e-05,-7.196439787616464e-05,0.14504251321948336,6.440344490265745e-05,2.773562787706606e-07,6.41260886238868e-05,0.0005590049096127342,0.0,0.0,0.0,0.0
2022-03-15,0.0,0.0,0.0,0.0,-0.0005776819967625172,4.384803818988509e-07,-0.000578120477144416,0.0008769607637977017,0.0,0.0,0.0,0.0
2022-03-16,0.0,0.0,0.0,0.0,0.0019774489961184435,4.210901918166827e-05,0.0019353399769367753,0.08421803836333654,0.0,0.0,0.0,0.0
2022-03-17,0.0,0.0,0.0,0.0,-0.0002895540421000134,1.7654628865955772e-06,-0.00029131950498660896,0.003530925773191154,0.0,0.0,0.0,0.0
2022-03-18,0.0009993408926072926,5.7990914227798356e-05,0.0009413499783794942,0.11798924729780061,0.00043024722415662894,4.975489107901933e-07,0.00042974967524583873,0.0010123210206235134,0.0,0.0,0.0,0.0
2022-03-21,-0.0007718639374801066,3.4264351068013686e-08,-0.0007718982018311746,6.852870213602813e-05,0.00010167640853075792,5.922541522753875e-07,0.00010108415437848253,0.0011845083045507881,0.0,0.0,0.0,0.0
2022-03-22,-0.0014470779781831867,7.332018080608459e-05,-0.0015203981589892712,0.14664036161216917,1.9299554410191766e-06,4.903257480949054e-05,-4.7102619368471364e-05,0.09806514961898109,0.0,0.0,0.0,0.0
2022-03-23,-0.0002258097592447903,5.8369399763895946e-05,-0.00028417915900868623,0.11695813864484818,0.0006438518100436669,5.4783313411917276e-08,0.0006437970267302549,0.00010977249023243207,0.0,0.0,0.0,0.0
2022-03-24,0.0022273461559056957,4.337844675550323e-08,0.00222730277745894,0.00010964115140027486,-0.000654526442048619,3.7228395936163395e-07,-0.0006548987260079806,0.000940965963634563,0.0,0.0,0.0,0.0
2022-03-25,0.0001157184403829824,0.00013223397761484852,-1.6515537231866117e-05,0.264467955229697,8.167834631370479e-05,3.612141183607781e-07,8.131713219534401e-05,0.0007224282367215562,0.0,0.0,0.0,0.0
2022-03-28,0.0,5.936568247853941e-05,-5.936568247853941e-05,0.11881758982121601,-0.0004599820039361658,2.1548391618478002e-08,-0.00046000355232778426,4.312808090022047e-05,0.0,0.0,0.0,0.0
2022-03-29,0.000615071738139297,5.9144969931758704e-05,0.0005559267682075383,0.1182899398635174,-0.0002525932046971318,1.190287435943599e-07,-0.00025271223344072616,0.00023805748718871977,0.0,0.0,0.0,0.0
2022-03-30,0.0017484538803279725,1.488663332681326e-07,0.0017483050139947044,0.0005022197253788524,0.0004886476482373985,3.80538128997995e-08,0.0004886095944244986,0.00012837943304301602,0.0,0.0,0.0,0.0
2022-03-31,-0.0010524070351883646,3.672840401095991e-07,-0.0010527743192284742,0.0007466482815350894,-0.00012000304894019894,4.50346079006073e-05,-0.00016503765684080623,0.0915504321629689,0.0,0.0,0.0,0.0
