date,AAPL_XLK,AAPL_alpha,MSFT_XLK,MSFT_alpha,NVDA_XLK,NVDA_alpha,AVGO_XLK,AVGO_alpha,AMD_XLK,AMD_alpha,ADBE_XLK,ADBE_alpha,CRM_XLK,CRM_alpha,CSCO_XLK,CSCO_alpha,INTC_XLK,INTC_alpha,ORCL_XLK,ORCL_alpha,QCOM_XLK,QCOM_alpha,TXN_XLK,TXN_alpha
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,0.9950124311984799,-0.0005633300669295998,1.0491268674378496,0.0022550645530055023,1.2259140933577908,0.004377239850922312,1.1264324136743198,-0.002446347395500566,1.0450242298623162,0.0018602891444747497,1.0018814247477845,0.0013730290329711321,0.8794531838025735,0.00011933538084326917,0.8950835860999654,-0.0010925671082840406,1.160926302666067,0.0010061315713051839,0.910944252886025,0.0008455515139606639,1.02337589342396,-0.001937529294067813,0.941715136998185,-0.001923651092902779
2020-04-01,0.9923820746536501,-0.00031541259964490333,1.048595749024724,0.002330496745468809,1.2235012793037028,0.0046695166551076785,1.1236960312532995,-0.0020917657217634,1.050392597049532,0.001324698530857174,0.999293373795151,0.0016163606424972863,0.8837076663379251,-0.0003441021497865497,0.8958235679277667,-0.0011268485998548261,1.1615847512736277,0.0009410709837520562,0.9155034397416671,0.0003438005411272849,1.022720073507353,-0.001829996726482229,0.9418104160642782,-0.0019271691828410572
2020-04-02,0.9961749193114672,-0.0007098836340323125,1.0438675604487695,0.0023340184965242585,1.235982559534,0.004058790268603554,1.125354211661342,-0.0023262184715683474,1.0468021892126878,0.0013697995068965394,1.0038967915432646,0.0012499921320467055,0.9000820048923868,-0.0016414936843475165,0.8882550160878153,-0.0010628531417030554,1.1562935447511526,0.0010026719222915388,0.8935666763476885,0.0009020062802100135,1.0119644361016198,-0.001553853796853424,0.9346843779958789,-0.0017511104091587487
2020-04-03,0.9972566221407623,-0.0005231915115562155,1.0461135187032358,0.0026556610496861676,1.2414187345699197,0.004490779143950532,1.1362898746950223,-0.0014592243366591331,1.047780361916823,0.0015552989087467641,1.0023397049322753,0.0012411141856893003,0.8951004057892288,-0.0020204997789161263,0.8952906460892489,-0.00045985968061084195,1.1658527107362704,0.0018866998241953803,0.8952296775898014,0.0010853812326851373,1.0119179302019912,-0.0016669837140716303,0.9412407457605763,-0.0013517615563857833
2020-04-06,0.9962898899880869,-0.0005978694364823177,1.0453267435848494,0.002692539915516531,1.2472559097676599,0.004248861058846296,1.138511528680737,-0.0009445031903657871,1.0540587317626957,0.0014514930978524227,1.0045534900465622,0.00088623942948675,0.8932141377963415,-0.0017622393032839519,0.8969309612067471,-0.00038680020071554756,1.166215803436642,0.002318269850614608,0.8961470737991383,0.0013542423558518465,1.0164186482439432,-0.0018597239491457331,0.9425313666577403,-0.001318087121670159
