date,AAPL,MSFT,NVDA,AVGO,AMD,ADBE,CRM,CSCO,INTC,ORCL,QCOM,TXN
2020-01-02,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,
2020-01-07,,,,,,,,,,,,
2020-01-08,,,,,,,,,,,,
2020-01-09,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,
2020-01-14,,,,,,,,,,,,
2020-01-15,,,,,,,,,,,,
2020-01-16,,,,,,,,,,,,
2020-01-17,,,,,,,,,,,,
2020-01-21,,,,,,,,,,,,
2020-01-22,,,,,,,,,,,,
2020-01-23,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,
2020-01-28,,,,,,,,,,,,
2020-01-29,,,,,,,,,,,,
2020-01-30,,,,,,,,,,,,
2020-01-31,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,
2020-02-04,,,,,,,,,,,,
2020-02-05,,,,,,,,,,,,
2020-02-06,,,,,,,,,,,,
2020-02-07,,,,,,,,,,,,
2020-02-10,,,,,,,,,,,,
2020-02-11,,,,,,,,,,,,
2020-02-12,,,,,,,,,,,,
2020-02-13,,,,,,,,,,,,
2020-02-14,,,,,,,,,,,,
2020-02-18,,,,,,,,,,,,
2020-02-19,,,,,,,,,,,,
2020-02-20,,,,,,,,,,,,
2020-02-21,,,,,,,,,,,,
2020-02-24,,,,,,,,,,,,
2020-02-25,,,,,,,,,,,,
2020-02-26,,,,,,,,,,,,
2020-02-27,,,,,,,,,,,,
2020-02-28,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,,
2020-03-18,,,,,,,,,,,,
2020-03-19,,,,,,,,,,,,
2020-03-20,,,,,,,,,,,,
2020-03-23,,,,,,,,,,,,
2020-03-24,,,,,,,,,,,,
2020-03-25,,,,,,,,,,,,
2020-03-26,,,,,,,,,,,,
2020-03-27,,,,,,,,,,,,
2020-03-30,,,,,,,,,,,,
2020-03-31,0.017284471661599042,0.0016770099426616225,0.011220107303073178,0.011073472241633742,-0.03316061634222709,0.01704923820819991,-0.023494983574130202,-0.007396614275044355,-0.004112382757689683,-0.024811671137293025,0.0010425328636621302,-0.001016398926374406
2020-04-01,-0.005280987625612028,0.012715843863560679,-0.026012352377275963,-0.0015300676793597728,0.009123020076414225,-0.00782149040079154,-0.027893608752440624,0.01962160685836944,0.013505755575800901,0.05218979850817401,0.02555794005779633,0.017019783475808736
2020-04-02,-0.005769846950005028,-0.005968117014570118,0.0171242825772873,0.03463156300124248,-0.006736832357441776,-0.015368848493754857,-0.017228322442402126,0.01816292483707131,0.018778323029373302,0.0005718780626044091,0.009823416326716544,0.03173639085951259
2020-04-03,0.001572781015320105,0.00437722184839639,-0.031470027247694,0.0072673450457045475,-0.028888393033337206,-0.02028042622887934,0.015880989913844533,-0.004370223513017855,0.012207266990725687,0.0047870134199304165,-0.024461750391539208,-0.004193689184573187
2020-04-06,0.0026653693847324827,-0.016547650811933434,-0.010690493714418131,-0.01753065217074927,0.02177724041882692,0.00021079751127631163,0.02264568677149735,-0.014144282007927542,-0.021362840793144017,-0.033290283519231495,0.0026950159383632294,0.01015775697118211
2020-04-07,-0.0019504022552924022,-0.0039561171391887025,-0.028551855378775255,0.01435877367906044,0.008790868091629522,-0.024403394987016706,-0.0073371361107700366,-0.010851786539300056,0.007752439430262995,-0.007295694128205292,0.035817062104405606,-0.015362944337582897
2020-04-08,-0.00033588868597091495,-0.01986961184121642,-0.0064663989004546465,0.000916753676748417,-0.004901116093018701,-0.0009263347042280622,0.018370802425537666,0.00369625173010105,-0.02296263238969557,0.0027888378484764442,-0.01731304635704007,0.012232087862972144
2020-04-09,0.007970031753331708,-0.0023347805734612917,-0.018717533851691344,-0.026429181482031685,-0.010745953647548434,0.004053500394240571,0.023750324111621257,-0.012609993246822849,-0.033981113444897654,0.018831268253886525,-0.022732808262484694,-0.022065923551555088
2020-04-13,0.01796876155784188,-0.002240483657975006,0.01985711563669092,0.020486084048033093,0.047173356001032174,0.003322552859576093,-0.014324344116600055,-0.0006452291366155293,0.02294567983372526,-0.006980347036339842,0.023562195936148847,-0.0008365437593362071
2020-04-14,0.008709534740617551,0.003964253229785199,-0.003766321396908842,-0.016631384272525068,0.028764582185654648,0.018805942406637827,-0.002720366081179801,0.001599062220684011,-0.01623652556921948,-0.017691687281621658,0.016302873037529718,-0.007928178267594503
2020-04-15,0.013087681186250517,0.01003734687327834,0.012425038970568247,-0.013278560665515856,0.02177669796760579,-0.0031834050028143185,0.008066991085214007,-0.009247035306906664,-0.006618745078916646,0.0027244001074397638,0.0035413950860396885,-0.004747705120264952
2020-04-16,-0.004084062032350788,0.014784159016835656,0.028949057999326427,-0.009359421019529503,0.018778380673276786,0.01676726081010988,-0.0009309914550282208,-0.010109621752194821,0.01637570981754228,-0.0013884130918985372,0.0010093048542376363,0.0211171654054217
2020-04-17,-0.0267761267823822,-0.007506523009080867,-0.029366489889944287,0.015238775814596504,-0.023931506138707693,-0.01060312557383827,0.024036361610257385,0.01288025930416968,-0.02412016875648087,0.004589336558980139,-0.0204549029424553,0.007729507287332987
2020-04-20,-0.004442277678835874,-0.006146839593076346,-0.0026255430498134304,-0.0097453894920724,0.02068543753801285,0.017438909932747597,0.016253692150182453,0.01688439434382658,-0.002351361300615664,-0.0002805734573759506,-0.006532015261705021,-0.0012250582666123132
2020-04-21,0.011816715330603494,-0.000715342279297787,-0.01432270073206178,0.007848505947030342,-0.03136203091290938,-0.005199561023043309,-0.03848821349734303,-0.00907084581997765,-0.0008305059905511017,-0.013370639544934199,0.011382377806968429,-0.0005711152955559587
2020-04-22,-0.008576085475549847,-0.00834121779782819,0.008708303404084225,0.0078174836442884,0.01076985344875582,-0.016363545497415685,-0.010608587061593799,-0.0033312084762855826,0.02171126201254546,-0.01577458642496717,0.0018454285795830236,0.011815119813504318
