date,AAPL,MSFT,NVDA,AVGO,AMD,ADBE,CRM,CSCO,INTC,ORCL,QCOM,TXN
2020-01-02,,,,,,,,,,,,
2020-01-03,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,
2020-01-07,,,,,,,,,,,,
2020-01-08,,,,,,,,,,,,
2020-01-09,,,,,,,,,,,,
2020-01-10,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,
2020-01-14,,,,,,,,,,,,
2020-01-15,,,,,,,,,,,,
2020-01-16,,,,,,,,,,,,
2020-01-17,,,,,,,,,,,,
2020-01-21,,,,,,,,,,,,
2020-01-22,,,,,,,,,,,,
2020-01-23,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,
2020-01-28,,,,,,,,,,,,
2020-01-29,,,,,,,,,,,,
2020-01-30,,,,,,,,,,,,
2020-01-31,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,
2020-02-04,,,,,,,,,,,,
2020-02-05,,,,,,,,,,,,
2020-02-06,,,,,,,,,,,,
2020-02-07,,,,,,,,,,,,
2020-02-10,,,,,,,,,,,,
2020-02-11,,,,,,,,,,,,
2020-02-12,,,,,,,,,,,,
2020-02-13,,,,,,,,,,,,
2020-02-14,,,,,,,,,,,,
2020-02-18,,,,,,,,,,,,
2020-02-19,,,,,,,,,,,,
2020-02-20,,,,,,,,,,,,
2020-02-21,,,,,,,,,,,,
2020-02-24,,,,,,,,,,,,
2020-02-25,,,,,,,,,,,,
2020-02-26,,,,,,,,,,,,
2020-02-27,,,,,,,,,,,,
2020-02-28,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,,
2020-03-18,,,,,,,,,,,,
2020-03-19,,,,,,,,,,,,
2020-03-20,,,,,,,,,,,,
2020-03-23,,,,,,,,,,,,
2020-03-24,,,,,,,,,,,,
2020-03-25,,,,,,,,,,,,
2020-03-26,,,,,,,,,,,,
2020-03-27,,,,,,,,,,,,
2020-03-30,,,,,,,,,,,,
2020-03-31,,,,,,,,,,,,
2020-04-01,,,,,,,,,,,,
2020-04-02,,,,,,,,,,,,
2020-04-03,,,,,,,,,,,,
2020-04-06,,,,,,,,,,,,
2020-04-07,,,,,,,,,,,,
2020-04-08,,,,,,,,,,,,
2020-04-09,,,,,,,,,,,,
2020-04-13,,,,,,,,,,,,
2020-04-14,,,,,,,,,,,,
2020-04-15,,,,,,,,,,,,
2020-04-16,,,,,,,,,,,,
2020-04-17,,,,,,,,,,,,
2020-04-20,,,,,,,,,,,,
2020-04-21,,,,,,,,,,,,
2020-04-22,,,,,,,,,,,,
2020-04-23,,,,,,,,,,,,
2020-04-24,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,
2020-04-28,,,,,,,,,,,,
2020-04-29,0.19296562294040967,-1.6336233811484382,-1.2347473934013415,0.4141186426552411,0.4824617834391178,-1.0475346822173957,0.10162572951731065,0.2061209359687816,-0.635766002483464,-0.062090501051457615,0.5940723381524633,1.1878757794562749
2020-04-30,0.17236372521324622,-1.9139504637111915,-1.2574169324426,0.40306676737039526,-0.3434064906489407,-0.892177888586492,0.48608009271433017,-0.5306632267427738,-0.7473451583391504,-1.044733197598781,0.34863290106528333,0.978781478273058
2020-05-01,0.7713115720052134,-1.4361634541542982,-1.7429948094147718,-0.2927556764167064,-0.46166970046504713,-0.3486167633126519,0.9543285919443698,-1.3172275713399546,-1.2983798217789577,-1.7786249823963194,0.24675448055546248,-0.012072446273548271
2020-05-04,0.9552522688447013,-1.5107895451187014,-1.456668080736932,-0.7007546808815801,-0.4038759367753886,-0.04057441731957905,0.6523245143520825,-1.5861507036558358,-1.6747763305185204,-1.8545033178268606,0.44959084219592416,-0.43293573431142024
2020-05-05,0.9238762330348328,-0.8739590342122104,-1.2460826366450282,-0.46228084740306175,-0.2821258683140118,-0.0323439382323361,0.6179737373660152,-1.2523205142513512,-1.5115175525549192,-1.4850098456017444,0.25431934859504723,-0.6753980060519797
2020-05-06,0.9913764141246643,-0.9480878628449405,-1.0313535000006715,-0.8366992526998518,-0.5388821056884251,0.4623130551637332,0.7302142549950571,-1.2280672490804647,-1.6911304396970241,-1.757081058775736,-0.09856180129383461,-0.47279157168549263
2020-05-07,1.0514523398372375,-0.4429888590422642,-1.0029333158820253,-1.0889552822132793,-0.5886008675429665,0.689983506104647,0.41622902181681976,-1.6159788626154346,-1.4065445451101457,-2.043174009038422,0.34317383946679414,-0.6779547451098381
2020-05-08,0.7948516041158967,-0.7040821281723089,-0.7149717484926342,-0.6123844695691721,-0.6645137131726174,0.5225442185808112,0.41526139522592176,-1.4857783407481826,-1.183149495919641,-2.4546225916062387,0.4819390110124884,-0.3481062073463378
2020-05-11,0.5666622063283753,-0.8948791818124544,-0.979154326923081,-0.8570462934509447,-0.9640255846513112,0.19444651325617504,0.9249984227055943,-0.6637964549495243,-1.818618087733787,-2.497227526402985,0.22024851215031724,-0.38362988275699417
2020-05-12,0.5954955462319599,-0.9104616598271372,-0.6292243120605062,-0.6846621885899397,-0.9099880935640061,-0.0874714015735757,1.3462307101142257,-0.6290130790566372,-1.733599743655518,-2.2194030636816904,-0.2624369294907373,-0.3490364235756384
2020-05-13,0.4992580054770093,-1.2588351346544382,-0.9743172612505442,-0.39474997050877964,-1.2440883478152844,0.02779088119222351,1.0993912075359709,-0.1110424870048389,-1.7379930674225237,-2.596400565908608,-0.4596529135782557,-0.3854331988522932
2020-05-14,0.6867960794620319,-1.6965817886173085,-1.1574893675332534,-0.12694269455767804,-1.5407543280023523,-0.3105945271393003,0.6602144753312763,-0.1861019510655725,-1.8066325013202476,-2.4809510975524605,-0.1688128892819097,-0.9063109321289158
2020-05-15,1.0887837441090809,-1.9839550391084713,-0.5942893307648957,-0.5935800590627551,-1.0659901880623324,-0.521761953060327,0.03481796490199706,0.15985891972455413,-1.2607322463121142,-2.039188126386774,0.5270360389352109,-1.170963487873939
