candidate,family,description,mr_probability_entry,mr_entry_score,trend_probability_entry,trend_entry_score
mr_p030_s125,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.3,1.25,,
mr_p030_s150,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.3,1.5,,
mr_p030_s175,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.3,1.75,,
mr_p030_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.3,2.0,,
mr_p035_s125,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.35,1.25,,
mr_p035_s150,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.35,1.5,,
mr_p035_s175,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.35,1.75,,
mr_p035_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.35,2.0,,
mr_p040_s125,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.4,1.25,,
mr_p040_s150,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.4,1.5,,
mr_p040_s175,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.4,1.75,,
mr_p040_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.4,2.0,,
invtrend_p060_s100,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,,,0.6,1.0
invtrend_p060_s125,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,,,0.6,1.25
invtrend_p060_s150,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,,,0.6,1.5
invtrend_p065_s100,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,,,0.65,1.0
invtrend_p065_s125,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,,,0.65,1.25
invtrend_p065_s150,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,,,0.65,1.5
invtrend_p070_s100,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,,,0.7,1.0
invtrend_p070_s125,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,,,0.7,1.25
invtrend_p070_s150,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,,,0.7,1.5
mr_p030_s150__inv_p065_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.3,1.5,0.65,1.25
mr_p030_s150__inv_p065_s150,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.3,1.5,0.65,1.5
mr_p030_s150__inv_p070_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.3,1.5,0.7,1.25
mr_p030_s150__inv_p070_s150,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.3,1.5,0.7,1.5
mr_p030_s175__inv_p065_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.3,1.75,0.65,1.25
mr_p030_s175__inv_p065_s150,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.3,1.75,0.65,1.5
mr_p030_s175__inv_p070_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.3,1.75,0.7,1.25
mr_p030_s175__inv_p070_s150,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.3,1.75,0.7,1.5
mr_p035_s150__inv_p065_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.35,1.5,0.65,1.25
mr_p035_s150__inv_p065_s150,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.35,1.5,0.65,1.5
mr_p035_s150__inv_p070_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.35,1.5,0.7,1.25
mr_p035_s150__inv_p070_s150,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.35,1.5,0.7,1.5
mr_p035_s175__inv_p065_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.35,1.75,0.65,1.25
mr_p035_s175__inv_p065_s150,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.35,1.75,0.65,1.5
mr_p035_s175__inv_p070_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.35,1.75,0.7,1.25
mr_p035_s175__inv_p070_s150,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.35,1.75,0.7,1.5
