fold_id,train_start,train_end,inner_train_start,inner_train_end,validation_start,validation_end,test_start,test_end,selected_candidate,selected_family,trend_probability_entry,trend_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,trend_cells,mean_reversion_cells,flat_cells,mr_probability_entry,mr_entry_score
0,2020-01-02,2021-12-07,2020-01-02,2021-06-14,2021-06-15,2021-12-07,2021-12-08,2022-03-04,invtrend_p060_s100,inverse_trend,0.6,1.0,0.012018641372045114,0.00019969643620570897,0.0010679922875403854,2.968263614279341,-0.004939213168239642,0.36666666666666664,0.05408658970540821,0.08979537072974302,0.55,3.2451953823244923,0,0,668,,
1,2020-03-31,2022-03-04,2020-03-31,2021-09-09,2021-09-10,2022-03-04,2022-03-07,2022-06-01,invtrend_p065_s100,inverse_trend,0.65,1.0,-0.0030617397044326866,-5.0143491323865596e-05,0.0005034771725794903,-1.5810115946084227,-0.004624969677366808,0.19672131147540983,0.0367581249759569,0.05864988695079772,0.45901639344262296,2.242245623533371,0,0,699,,
2,2020-06-26,2022-06-01,2020-06-26,2021-12-07,2021-12-08,2022-06-01,2022-06-02,2022-08-29,invtrend_p060_s150,inverse_trend,0.6,1.5,0.005088061540041933,8.32798683204407e-05,0.0003961097249514973,3.3375270575001252,-0.000308486150786047,0.09836065573770492,0.02523427739198257,0.020995750211211726,0.11475409836065574,1.5392909209109369,0,0,724,,
3,2020-09-23,2022-08-29,2020-09-23,2022-03-04,2022-03-07,2022-08-29,2022-08-30,2022-11-24,mr_p035_s175__inv_p065_s150,mean_reversion_plus_inverse_trend,0.65,1.5,0.006240689231810981,0.00010233614359891353,0.0008354987160471612,1.9443906799313602,-0.0025888414241727054,0.29508196721311475,0.026781373142655492,0.07367297246475153,0.5901639344262295,1.6336637617019851,0,28,693,0.35,1.75
4,2020-12-21,2022-11-24,2020-12-21,2022-05-31,2022-06-01,2022-11-23,2022-11-25,2023-02-21,mr_p035_s175__inv_p070_s125,mean_reversion_plus_inverse_trend,0.7,1.25,-0.0019764370978514467,-3.332730894783883e-05,0.0006443106649663138,-0.821117291432163,-0.007212293747275833,0.23728813559322035,0.021912719824558752,0.05864962848979459,0.3898305084745763,1.2928504696489664,0,25,680,0.35,1.75
5,2021-03-18,2023-02-21,2021-03-18,2022-08-29,2022-08-30,2023-02-21,2023-02-22,2023-05-19,mr_p030_s125,mean_reversion,,,5.386926059003372e-06,1.159269529247745e-07,0.00024294353178161475,0.007574942673447784,-0.0018602219581410617,0.1935483870967742,0.008184566952179485,0.02440063403734166,0.3225806451612903,0.507443151035128,0,23,721,0.3,1.25
6,2021-06-15,2023-05-19,2021-06-15,2022-11-23,2022-11-25,2023-05-19,2023-05-22,2023-08-16,mr_p030_s125,mean_reversion,,,-0.0013014607147155965,-2.1641432207207945e-05,0.00035923196970928987,-0.9563377282128658,-0.0034451845252121416,0.08333333333333333,0.007398989496666167,0.01114684143672635,0.15,0.44393936979997006,0,9,711,0.3,1.25
7,2021-09-10,2023-08-16,2021-09-10,2023-02-21,2023-02-22,2023-08-16,2023-08-17,2023-11-13,mr_p035_s150__inv_p065_s125,mean_reversion_plus_inverse_trend,0.65,1.25,0.004817748803513933,7.76339728369467e-05,0.00047738792319418615,2.5815506690095424,-0.0007859026289644966,0.08064516129032258,0.012724364707160275,0.01375245679625051,0.12903225806451613,0.7889106118439371,0,6,736,0.35,1.5
8,2021-12-08,2023-11-13,2021-12-08,2023-05-19,2023-05-22,2023-11-13,2023-11-14,2024-02-08,mr_p035_s175__inv_p070_s125,mean_reversion_plus_inverse_trend,0.7,1.25,-0.00872316078486024,-0.00014727064254827952,0.0015690943068648144,-1.4899352852103804,-0.014406574053610122,0.22033898305084745,0.0424104296906938,0.07645066971683202,0.4745762711864407,2.5022153517509342,0,24,678,0.35,1.75
9,2022-03-07,2024-02-08,2022-03-07,2023-08-16,2023-08-17,2024-02-08,2024-02-09,2024-05-07,mr_p035_s200,mean_reversion,,,2.7493626714614194e-05,4.835828676167318e-07,0.0002585458525103234,0.029691600006329776,-0.001286557239087105,0.09836065573770492,0.008722778810120884,0.01931055813916573,0.19672131147540983,0.5320895074173739,0,15,717,0.35,2.0
