fold_id,selected_candidate,selected_family,description,trend_probability_entry,trend_entry_score,validation_selection_score,validation_cum_return,validation_sharpe,validation_max_drawdown,validation_active_rate,mr_probability_entry,mr_entry_score
0,invtrend_p060_s100,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,0.6,1.0,1.0970846585173006,0.0025377174160479132,1.0970846585173006,-0.0014246484508023682,0.06504065040650407,,
1,invtrend_p065_s100,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,0.65,1.0,1.7859606755135626,0.007694188778583744,1.7859606755135626,-0.001924062397253512,0.22950819672131148,,
2,invtrend_p060_s150,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,0.6,1.5,1.8058543307891433,0.008377978504719552,1.8058543307891433,-0.0037457771652599225,0.4049586776859504,,
3,mr_p035_s175__inv_p065_s150,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.65,1.5,2.4620106354054503,0.013287100833961896,2.4620106354054503,-0.003353136404704471,0.5491803278688525,0.35,1.75
4,mr_p035_s175__inv_p070_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.7,1.25,3.3627469616904153,0.022982766670568422,3.3627469616904153,-0.003674744151503595,0.4959349593495935,0.35,1.75
5,mr_p030_s125,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,2.0210148394362775,0.013451163465051819,2.0210148394362775,-0.0037904192872832976,0.4083333333333333,0.3,1.25
6,mr_p030_s125,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,1.3380676167917693,0.007579980256162688,1.3380676167917693,-0.003282018498718564,0.2644628099173554,0.3,1.25
7,mr_p035_s150__inv_p065_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.65,1.25,2.4951090274013503,0.010316729122049617,2.4951090274013503,-0.00391219820010269,0.47540983606557374,0.35,1.5
8,mr_p035_s175__inv_p070_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.7,1.25,1.6973037025842146,0.009065092540488928,1.6973037025842146,-0.0049127725062863,0.32786885245901637,0.35,1.75
9,mr_p035_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,1.7539274592061544,0.004452609433187149,1.7539274592061544,-0.0012065479800523748,0.18181818181818182,0.35,2.0
10,mr_p030_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,2.422656920440305,0.004900689574832917,2.422656920440305,-0.0008002130499771276,0.08333333333333333,0.3,2.0
11,mr_p035_s150,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,1.795394029373671,0.012355415221524835,1.795394029373671,-0.0033032139232187507,0.32231404958677684,0.35,1.5
12,mr_p035_s125,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,1.8232342375695643,0.00999501330852337,1.8232342375695643,-0.005272128383820296,0.8114754098360656,0.35,1.25
13,mr_p035_s175__inv_p065_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.65,1.25,1.7273542922240186,0.00983091622144161,1.7273542922240186,-0.0055944203716228325,0.7333333333333333,0.35,1.75
14,invtrend_p060_s150,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,0.6,1.5,3.8402899424446226,0.015479313169324493,3.8402899424446226,-0.0011194244335824832,0.24369747899159663,,
15,mr_p030_s175__inv_p070_s150,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.7,1.5,2.2564789880520233,0.00686021096984768,2.2564789880520233,-0.0027589979261652964,0.35537190082644626,0.3,1.75
16,mr_p030_s175__inv_p065_s150,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.65,1.5,1.232992979750708,0.0029239924556663244,1.232992979750708,-0.002272251602399744,0.36885245901639346,0.3,1.75
