date,AAPL,MSFT,NVDA,AVGO,AMD,ADBE,CRM,CSCO,INTC,ORCL,QCOM,TXN,XLK
2021-12-08,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2021-12-09,-0.0,-0.0008397345564878093,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0015248267831471447
2021-12-10,0.0,0.004080437402883625,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026803476602708575
2021-12-13,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2021-12-14,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2021-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2021-12-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
2021-12-17,-0.0,-0.0,-0.0,0.0,-0.0,-0.0005002534324727293,-0.0,-9.184862793301917e-05,-0.0,-0.0,-0.0,-0.0,0.00021950871277520972
2021-12-20,-0.0,-0.0,-0.0,-0.0006507657433565207,-0.0,-0.00036873239897224183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.47266362704962e-05
2021-12-21,0.0,0.0,0.0,-7.832960659820347e-05,0.0,0.0004187746910961338,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0001404215290215072
2021-12-22,0.0,0.0,0.0,-0.0005520101445961287,-0.0,0.00034088021036179835,0.0,0.0,0.0,-0.0,0.0,0.0,-9.211939342620431e-05
2021-12-23,0.0,0.0,0.0,-0.000580282329892725,0.0,0.00029439550763352373,0.0,0.0,0.0,-0.0,0.0,0.0,-4.534932209088543e-05
2021-12-27,0.0,0.0,0.0,-0.0005674524783084994,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0008420337472207169
2021-12-28,-0.0,-0.0,-0.0,0.0003097155562351613,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0001990205374440829
2021-12-29,0.0,0.0,-0.0,-0.0002100777109600493,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,3.287136598681971e-05
2021-12-30,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2021-12-31,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
2022-01-03,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
2022-01-04,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.00014491310764606056,0.0012945556215748215
