symbol,mode,active_days,long_days,short_days,gross_pnl_sum,avg_active_pnl
AAPL,mean_reversion,12,0,12,-0.0005466815786274847,-4.555679821895704e-05
AAPL,inverse_trend,26,18,8,0.004209387309755339,0.00016189951191366685
AAPL,flat,0,0,0,0.0,
MSFT,mean_reversion,28,17,11,0.0028784523608472597,0.00010280187003025927
MSFT,inverse_trend,9,9,0,-0.0011745714858099972,-0.00013050794286777756
MSFT,flat,0,0,0,0.0,
NVDA,mean_reversion,29,13,16,-0.002069545937490434,-7.136365301691146e-05
NVDA,inverse_trend,3,0,3,0.0016165770206527331,0.0005388590068842444
NVDA,flat,0,0,0,0.0,
AVGO,mean_reversion,41,6,35,-0.00029671424275257933,-7.236932750062929e-06
AVGO,inverse_trend,8,1,7,-0.0009737066544320404,-0.00012171333180400508
AVGO,flat,0,0,0,0.0,
AMD,mean_reversion,30,11,19,-0.0022668738986508963,-7.55624632883632e-05
AMD,inverse_trend,1,0,1,0.0006417510119657823,0.0006417510119657823
AMD,flat,0,0,0,0.0,
ADBE,mean_reversion,15,15,0,-0.0008791184040527033,-5.8607893603513556e-05
ADBE,inverse_trend,15,5,10,-0.0017795735107935871,-0.00011863823405290584
ADBE,flat,0,0,0,0.0,
CRM,mean_reversion,28,6,22,-0.001358217299180852,-4.8507760685030416e-05
CRM,inverse_trend,17,8,9,-0.0014660980631646353,-8.624106253909622e-05
CRM,flat,0,0,0,0.0,
CSCO,mean_reversion,21,0,21,-0.003607942796526731,-0.00017180679983460628
CSCO,inverse_trend,4,2,2,-0.011722454570305433,-0.0029306136425763583
CSCO,flat,0,0,0,0.0,
INTC,mean_reversion,75,13,62,-0.003940871183097383,-5.2544949107965076e-05
INTC,inverse_trend,15,0,15,0.004464326656347599,0.00029762177708984
INTC,flat,0,0,0,0.0,
ORCL,mean_reversion,24,0,24,0.003378365896594525,0.00014076524569143857
ORCL,inverse_trend,0,0,0,0.0,
ORCL,flat,0,0,0,0.0,
QCOM,mean_reversion,3,0,3,5.096121565548962e-06,1.698707188516325e-06
QCOM,inverse_trend,14,14,0,-0.004778821028402188,-0.0003413443591715847
QCOM,flat,0,0,0,0.0,
TXN,mean_reversion,7,6,1,0.004029027388301573,0.000575575341185939
TXN,inverse_trend,34,19,15,0.02022563654025314,0.0005948716629486217
TXN,flat,0,0,0,0.0,
