candidate,family,description,mr_probability_entry,mr_entry_score
mr_p030_s125,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.3,1.25
mr_p030_s150,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.3,1.5
mr_p030_s175,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.3,1.75
mr_p030_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.3,2.0
mr_p035_s125,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.35,1.25
mr_p035_s150,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.35,1.5
mr_p035_s175,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.35,1.75
mr_p035_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.35,2.0
mr_p040_s125,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.4,1.25
mr_p040_s150,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.4,1.5
mr_p040_s175,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.4,1.75
mr_p040_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,0.4,2.0
