stock,selected,factor_set,factors,candidate,family,selection_score,fold_id,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count
AAPL,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
MSFT,True,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s175,mean_reversion,2.722887001278918,9.0,21.0,0.4,1.75,0.002625976041845668,2.1681984618051e-05,0.0001263382760967479,2.724359125452751,-0.0004626224170650728,0.12396694214876033,0.005888496695331969,0.028486013499523948,0.17355371900826447,0.7125081001351683
NVDA,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
AVGO,True,SPY_XLK,"SPY,XLK",mr_p040_s150,mean_reversion,1.3659829585108905,9.0,37.0,0.4,1.5,0.005505776493893277,4.551670571892557e-05,0.0005280550442438806,1.3683333032482516,-0.003573036145814501,0.18181818181818182,0.00940137894944455,0.04462648789094204,0.30578512396694213,1.1375668528827905
AMD,True,SPY_XLK,"SPY,XLK",mr_p030_s125,mean_reversion,2.342497978503872,9.0,15.0,0.3,1.25,0.00761753271728316,6.280772235374495e-05,0.0004252134456948208,2.3448028106100716,-0.0014772460362012518,0.0743801652892562,0.009219328424797894,0.02141025492537711,0.12396694214876033,1.1155387394005452
ADBE,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
CRM,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
CSCO,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
INTC,True,QQQ_XLK,"QQQ,XLK",mr_p040_s125,mean_reversion,2.6569258104350104,9.0,12.0,0.4,1.25,0.00609757078283879,5.0286040129798674e-05,0.00030019322408317533,2.659174410241822,-0.0012498345653805254,0.06611570247933884,0.008994399227246664,0.013280259047306443,0.09917355371900827,1.0883223064968464
ORCL,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
QCOM,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
TXN,True,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s150,mean_reversion,3.2729792155633644,9.0,25.0,0.4,1.5,0.006332875533731075,5.2205874320820305e-05,0.00025301294275009424,3.275494737816897,-0.001249403506085156,0.14049586776859505,0.010062089014130473,0.03353649111934221,0.2066115702479339,1.2175127707097873
