fold_id,train_start,train_end,inner_train_start,inner_train_end,validation_start,validation_end,test_start,test_end,active_selected_stocks,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,trend_cells,mean_reversion_cells,flat_cells
0,2020-01-02,2021-12-07,2020-01-02,2021-06-14,2021-06-15,2021-12-07,2021-12-08,2022-03-04,3,0.00579038142883781,9.64059140245129e-05,0.0005939801759660372,2.5765109720360715,-0.0023128265461597186,0.2833333333333333,0.0183760105996519,0.059248403483876076,0.4666666666666667,1.102560635979114,0,28,692
1,2020-03-31,2022-03-04,2020-03-31,2021-09-09,2021-09-10,2022-03-04,2022-03-07,2022-06-01,9,4.542610347457732e-05,8.758787535186969e-07,0.0005165430726716089,0.026917685858839885,-0.0032966882647970097,0.32786885245901637,0.031498385857844285,0.08823183101671112,0.7049180327868853,1.9214015373285014,0,54,678
2,2020-06-26,2022-06-01,2020-06-26,2021-12-07,2021-12-08,2022-06-01,2022-06-02,2022-08-29,9,0.0071520549585055715,0.00011727241275198297,0.00094229647278257,1.9756434333710648,-0.00590372638645853,0.29508196721311475,0.03211804218992258,0.08597014260463329,0.5737704918032787,1.959200573585277,0,57,675
3,2020-09-23,2022-08-29,2020-09-23,2022-03-04,2022-03-07,2022-08-29,2022-08-30,2022-11-24,8,0.004731750616619346,7.760983374981557e-05,0.0006691278869848519,1.8412293678597913,-0.0042936335002425885,0.4426229508196721,0.04706082393356332,0.14939724452368255,0.819672131147541,2.8707102599473626,0,80,652
4,2020-12-21,2022-11-24,2020-12-21,2022-05-31,2022-06-01,2022-11-23,2022-11-25,2023-02-21,8,-0.0008572157589221696,-1.4341694822861033e-05,0.0006274253373477292,-0.3628596642992441,-0.005064908055994466,0.1694915254237288,0.0275057251228042,0.0494148208788802,0.423728813559322,1.6228377822454478,0,28,680
5,2021-03-18,2023-02-21,2021-03-18,2022-08-29,2022-08-30,2023-02-21,2023-02-22,2023-05-19,7,0.002773718896887045,4.513347942471001e-05,0.0009638612961789122,0.7433349352291119,-0.009407552223758775,0.41935483870967744,0.04442582095905145,0.16949353861951727,0.8064516129032258,2.75440089946119,0,100,644
6,2021-06-15,2023-05-19,2021-06-15,2022-11-23,2022-11-25,2023-05-19,2023-05-22,2023-08-16,6,0.0021202325353750773,3.569440280693461e-05,0.000895192407537037,0.6329712734088908,-0.008302704581200748,0.23333333333333334,0.050406647480849005,0.12474531418529887,0.4166666666666667,3.0243988488509403,0,42,678
7,2021-09-10,2023-08-16,2021-09-10,2023-02-21,2023-02-22,2023-08-16,2023-08-17,2023-11-13,7,0.00036293297410994185,5.972929843841109e-06,0.0004944543802399475,0.19176151649303605,-0.003689029116150322,0.1935483870967742,0.02276488414365606,0.07093063283494265,0.45161290322580644,1.4114228169066756,0,36,708
8,2021-12-08,2023-11-13,2021-12-08,2023-05-19,2023-05-22,2023-11-13,2023-11-14,2024-02-08,3,0.000739489262485904,1.2532382760130709e-05,8.095077151491081e-05,2.457609791571037,-9.656600759522238e-05,0.03389830508474576,0.002136147324336085,0.005685321624911637,0.05084745762711865,0.12603269213582902,0,3,705
9,2022-03-07,2024-02-08,2022-03-07,2023-08-16,2023-08-17,2024-02-08,2024-02-09,2024-05-07,5,0.002188097250239718,3.599838489142646e-05,0.0005819885167640455,0.9819036418683849,-0.002593329699529856,0.29508196721311475,0.05268677605175258,0.1238883867064033,0.5737704918032787,3.213893339156907,0,40,692
