fold_id,stock,factor_set,factors,candidate,family,selection_score,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,selected
0.0,AAPL,XLK,XLK,mr_p035_s150,mean_reversion,1.852500758950478,10.0,0.35,1.5,0.0023482931486769054,1.9082845647439516e-05,0.00016337155620630805,1.8542443395764214,-0.0007562759876345027,0.04065040650406504,0.006974322503773526,0.008634789340351015,0.08130081300813008,0.8578416679641437,True
,MSFT,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
0.0,NVDA,XLK,XLK,mr_p040_s150,mean_reversion,1.3885801983050705,47.0,0.4,1.5,0.006505877768960389,5.290431488992483e-05,0.000604015617566318,1.3904110067050477,-0.005665566216120688,0.21138211382113822,0.007323233599908318,0.049371201274051646,0.3821138211382114,0.9007577327887231,True
,AVGO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,AMD,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,ADBE,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,CRM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,CSCO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
0.0,INTC,QQQ_XLK,"QQQ,XLK",mr_p040_s175,mean_reversion,2.365785739180475,11.0,0.4,1.75,0.0020280596048767308,1.6477783242876777e-05,0.00011053011268979916,2.366565032316458,-0.0001515508581818592,0.07317073170731707,0.0031171725439332774,0.007587749705705496,0.08943089430894309,0.3834122229037931,True
,ORCL,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,QCOM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,TXN,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,AAPL,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
1.0,MSFT,QQQ_XLK,"QQQ,XLK",mr_p035_s175,mean_reversion,2.336950252035989,22.0,0.35,1.75,0.003303197874707786,2.7047838138117656e-05,0.0001835246065852707,2.339583379479023,-0.0009033760468428742,0.13934426229508196,0.010532509772137034,0.021303948835936486,0.18032786885245902,1.284966192200718,True
