symbol,mode,active_days,long_days,short_days,gross_pnl_sum,avg_active_pnl
AAPL,mean_reversion,7,7,0,0.004684894630544991,0.0006692706615064273
AAPL,inverse_trend,0,0,0,0.0,
AAPL,flat,0,0,0,0.0,
MSFT,mean_reversion,134,81,53,0.005608480004489129,4.1854328391709926e-05
MSFT,inverse_trend,0,0,0,0.0,
MSFT,flat,0,0,0,0.0,
NVDA,mean_reversion,43,38,5,0.01104236377896579,0.00025679915765036725
NVDA,inverse_trend,0,0,0,0.0,
NVDA,flat,0,0,0,0.0,
AVGO,mean_reversion,70,43,27,0.017970198255887034,0.0002567171179412433
AVGO,inverse_trend,0,0,0,0.0,
AVGO,flat,0,0,0,0.0,
AMD,mean_reversion,56,36,20,-0.0036999240732891302,-6.607007273730592e-05
AMD,inverse_trend,0,0,0,0.0,
AMD,flat,0,0,0,0.0,
ADBE,mean_reversion,36,17,19,0.012168359667462863,0.0003380099907628573
ADBE,inverse_trend,0,0,0,0.0,
ADBE,flat,0,0,0,0.0,
CRM,mean_reversion,39,18,21,-0.009455478253376602,-0.00024244816034298976
CRM,inverse_trend,0,0,0,0.0,
CRM,flat,0,0,0,0.0,
CSCO,mean_reversion,44,39,5,0.00018023943694474884,4.096350839653402e-06
CSCO,inverse_trend,0,0,0,0.0,
CSCO,flat,0,0,0,0.0,
INTC,mean_reversion,107,50,57,0.006413900125280428,5.994299182505073e-05
INTC,inverse_trend,0,0,0,0.0,
INTC,flat,0,0,0,0.0,
ORCL,mean_reversion,192,94,98,-0.02283359638694519,-0.00011892498118200617
ORCL,inverse_trend,0,0,0,0.0,
ORCL,flat,0,0,0,0.0,
QCOM,mean_reversion,89,78,11,-0.01311052912959766,-0.0001473093160628951
QCOM,inverse_trend,0,0,0,0.0,
QCOM,flat,0,0,0,0.0,
TXN,mean_reversion,117,73,44,0.002045631040655285,1.74840259885067e-05
TXN,inverse_trend,0,0,0,0.0,
TXN,flat,0,0,0,0.0,
