symbol,mode,active_days,long_days,short_days,gross_pnl_sum,avg_active_pnl
AAPL,trend,81,25,56,-0.0029946816021251274,-3.69713778040139e-05
AAPL,mean_reversion,202,59,143,-0.00031949694861064127,-1.581668062428913e-06
AAPL,flat,0,0,0,0.0,
MSFT,trend,20,3,17,0.00199862014718117,9.993100735905853e-05
MSFT,mean_reversion,202,91,111,0.0037802984960682274,1.871434899043676e-05
MSFT,flat,0,0,0,0.0,
NVDA,trend,38,12,26,0.0059672553673865945,0.00015703303598385774
NVDA,mean_reversion,195,106,89,-0.015509744748320562,-7.953715255549006e-05
NVDA,flat,0,0,0,0.0,
AVGO,trend,19,15,4,-0.010196553375247278,-0.000536660703960383
AVGO,mean_reversion,159,36,123,-0.008778858982683064,-5.521294957662307e-05
AVGO,flat,0,0,0,0.0,
AMD,trend,15,14,1,-0.0012248142372237188,-8.165428248158123e-05
AMD,mean_reversion,156,77,79,-0.015585608003837188,-9.990774361434097e-05
AMD,flat,0,0,0,0.0,
ADBE,trend,50,30,20,0.007536243280320071,0.0001507248656064014
ADBE,mean_reversion,125,104,21,0.000968356668278646,7.746853346229156e-06
ADBE,flat,0,0,0,0.0,
CRM,trend,47,16,31,0.006252960335411788,0.00013304170926408066
CRM,mean_reversion,234,79,155,-0.0032869094027034402,-1.4046621379074545e-05
CRM,flat,0,0,0,0.0,
CSCO,trend,21,6,15,0.0024693666037897896,0.00011758888589475191
CSCO,mean_reversion,105,62,43,0.004157798315277069,3.9598079193114925e-05
CSCO,flat,0,0,0,0.0,
INTC,trend,60,48,12,0.002666591595227483,4.444319325379139e-05
INTC,mean_reversion,166,44,122,0.0065274566146665824,3.932202779919631e-05
INTC,flat,0,0,0,0.0,
ORCL,trend,9,3,6,0.00423209400828343,0.00047023266758704777
ORCL,mean_reversion,145,10,135,0.004186444832069794,2.887203332461929e-05
ORCL,flat,0,0,0,0.0,
QCOM,trend,24,3,21,0.003488505206884438,0.0001453543836201849
QCOM,mean_reversion,105,31,74,-0.0013337000077869475,-1.2701904836066183e-05
QCOM,flat,0,0,0,0.0,
TXN,trend,76,27,49,-0.016215879355256015,-0.00021336683362178967
TXN,mean_reversion,139,64,75,0.00296164872585363,2.130682536585345e-05
TXN,flat,0,0,0,0.0,
