symbol,mode,active_days,long_days,short_days,gross_pnl_sum,avg_active_pnl
AAPL,trend,40,15,25,-0.0018640711462898133,-4.6601778657245286e-05
AAPL,mean_reversion,103,4,99,0.0006347921173752052,6.163030265778691e-06
AAPL,flat,0,0,0,0.0,
MSFT,trend,9,1,8,0.00026534201418382014,2.9482446020424492e-05
MSFT,mean_reversion,80,41,39,0.01930235963817211,0.0002412794954771514
MSFT,flat,0,0,0,0.0,
NVDA,trend,0,0,0,0.0,
NVDA,mean_reversion,61,26,35,0.001255551476816808,2.05828110953575e-05
NVDA,flat,0,0,0,0.0,
AVGO,trend,4,4,0,-0.002746805210427772,-0.000686701302606943
AVGO,mean_reversion,79,9,70,-0.0011334637781135685,-1.4347642760931245e-05
AVGO,flat,0,0,0,0.0,
AMD,trend,6,6,0,-0.0006447676701678285,-0.00010746127836130474
AMD,mean_reversion,72,32,40,-0.008637846539122553,-0.00011997009082114657
AMD,flat,0,0,0,0.0,
ADBE,trend,20,9,11,0.004292843479042343,0.0002146421739521171
ADBE,mean_reversion,39,39,0,0.0004217512059122887,1.0814133484930463e-05
ADBE,flat,0,0,0,0.0,
CRM,trend,29,6,23,0.0022604199846047047,7.794551671050712e-05
CRM,mean_reversion,85,24,61,-0.005937864299315774,-6.985722705077382e-05
CRM,flat,0,0,0,0.0,
CSCO,trend,10,1,9,0.003615106070328807,0.0003615106070328807
CSCO,mean_reversion,28,0,28,-0.0022145342637441843,-7.909050941943515e-05
CSCO,flat,0,0,0,0.0,
INTC,trend,6,3,3,0.00018175715454980357,3.029285909163393e-05
INTC,mean_reversion,100,7,93,0.005046504040923002,5.0465040409230004e-05
INTC,flat,0,0,0,0.0,
ORCL,trend,3,0,3,-0.00041220348875410434,-0.00013740116291803474
ORCL,mean_reversion,75,9,66,-0.0016735888294015467,-2.2314517725353985e-05
ORCL,flat,0,0,0,0.0,
QCOM,trend,15,0,15,0.007118818473294246,0.00047458789821961636
QCOM,mean_reversion,22,7,15,-0.0038695581124904115,-0.00017588900511320054
QCOM,flat,0,0,0,0.0,
TXN,trend,47,21,26,-0.019960209210377743,-0.00042468530234846273
TXN,mean_reversion,58,17,41,-0.0002090771494547279,-3.6047784388746413e-06
TXN,flat,0,0,0,0.0,
