symbol,mode,active_days,long_days,short_days,gross_pnl_sum,avg_active_pnl
AAPL,inverse_trend,81,56,25,0.0029946816021251274,3.69713778040139e-05
AAPL,flat,0,0,0,0.0,
MSFT,inverse_trend,20,17,3,-0.00199862014718117,-9.993100735905853e-05
MSFT,flat,0,0,0,0.0,
NVDA,inverse_trend,38,26,12,-0.0059672553673865945,-0.00015703303598385774
NVDA,flat,0,0,0,0.0,
AVGO,inverse_trend,19,4,15,0.010196553375247278,0.000536660703960383
AVGO,flat,0,0,0,0.0,
AMD,inverse_trend,15,1,14,0.0012248142372237188,8.165428248158123e-05
AMD,flat,0,0,0,0.0,
ADBE,inverse_trend,50,20,30,-0.007536243280320071,-0.0001507248656064014
ADBE,flat,0,0,0,0.0,
CRM,inverse_trend,47,31,16,-0.006252960335411788,-0.00013304170926408066
CRM,flat,0,0,0,0.0,
CSCO,inverse_trend,21,15,6,-0.0024693666037897896,-0.00011758888589475191
CSCO,flat,0,0,0,0.0,
INTC,inverse_trend,60,12,48,-0.002666591595227483,-4.444319325379139e-05
INTC,flat,0,0,0,0.0,
ORCL,inverse_trend,9,6,3,-0.00423209400828343,-0.00047023266758704777
ORCL,flat,0,0,0,0.0,
QCOM,inverse_trend,24,21,3,-0.003488505206884438,-0.0001453543836201849
QCOM,flat,0,0,0,0.0,
TXN,inverse_trend,76,49,27,0.016215879355256015,0.00021336683362178967
TXN,flat,0,0,0,0.0,
