date,gross_pnl,transaction_cost,net_pnl
2021-12-08,0.0,0.0,0.0
2021-12-09,0.0,0.0,0.0
2021-12-10,0.00047943977155940904,4.810011637388085e-05,0.0004313396551855282
2021-12-13,0.0,4.810011637388085e-05,-4.810011637388085e-05
2021-12-14,0.0,0.0,0.0
2021-12-15,0.0,0.0,0.0
2021-12-16,0.0,0.0,0.0
2021-12-17,0.0,0.0,0.0
2021-12-20,0.0,0.0,0.0
2021-12-21,0.0,0.0,0.0
2021-12-22,0.0,0.0,0.0
2021-12-23,0.0,0.0,0.0
2021-12-27,0.0,0.0,0.0
2021-12-28,0.0,0.0,0.0
2021-12-29,0.0,0.0,0.0
2021-12-30,0.0,0.0,0.0
2021-12-31,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.0
2022-01-06,0.0,0.0,0.0
2022-01-07,0.0,0.0,0.0
2022-01-10,0.0,0.0,0.0
2022-01-11,0.0,0.0,0.0
2022-01-12,0.0,0.0,0.0
2022-01-13,0.0,0.0,0.0
2022-01-14,0.0,0.0,0.0
2022-01-18,0.0,0.0,0.0
2022-01-19,0.0,0.0,0.0
2022-01-20,0.0,0.0,0.0
2022-01-21,0.0,0.0,0.0
2022-01-24,0.0,0.0,0.0
2022-01-25,0.0,0.0,0.0
2022-01-26,0.0,0.0,0.0
2022-01-27,0.0,0.0,0.0
2022-01-28,0.0,0.0,0.0
2022-01-31,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0
2022-02-02,0.0,0.0,0.0
2022-02-03,0.0,0.0,0.0
2022-02-04,0.0,0.0,0.0
2022-02-07,0.0,0.0,0.0
2022-02-08,0.0,0.0,0.0
2022-02-09,0.0,0.0,0.0
2022-02-10,0.0,0.0,0.0
2022-02-11,0.0,0.0,0.0
2022-02-14,0.0,0.0,0.0
2022-02-15,0.0,0.0,0.0
2022-02-16,0.0,0.0,0.0
2022-02-17,0.0,0.0,0.0
2022-02-18,0.0,0.0,0.0
2022-02-22,0.0,0.0,0.0
2022-02-23,0.0,0.0,0.0
2022-02-24,0.0,0.0,0.0
2022-02-25,0.0,0.0,0.0
2022-02-28,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0
2022-03-02,0.0,0.0,0.0
2022-03-03,0.0,0.0,0.0
2022-03-04,0.0,0.0,0.0
2022-03-07,0.0,0.0,0.0
2022-03-08,0.0,0.0,0.0
2022-03-09,0.0,0.0,0.0
2022-03-10,0.0,0.0,0.0
2022-03-11,0.0,0.0,0.0
2022-03-14,0.0,0.0,0.0
2022-03-15,0.0,0.0,0.0
2022-03-16,0.0,0.0,0.0
2022-03-17,0.0,0.0,0.0
2022-03-18,0.0,0.0,0.0
2022-03-21,0.0007718639374801066,5.902888799996832e-05,0.0007128350494801383
2022-03-22,-0.00032850486187163653,8.580192227099908e-08,-0.0003285906637939075
2022-03-23,0.0,5.911468992223932e-05,-5.911468992223932e-05
2022-03-24,0.0,0.0,0.0
2022-03-25,-0.0001157184403829824,5.940879491060801e-05,-0.0001751272352935904
2022-03-28,0.0,5.940879491060801e-05,-5.940879491060801e-05
2022-03-29,0.0,0.0,0.0
2022-03-30,-0.0017484538803279725,5.8893860069069275e-05,-0.0018073477403970418
2022-03-31,0.0010524070351883646,3.733241407675447e-07,0.001052033711047597
2022-04-01,-0.0017425014997892892,1.1257608782357792e-07,-0.0017426140758771127
2022-04-04,0.0009285488056321679,1.427973061239457e-06,0.0009271208325709285
2022-04-05,-0.0012557610340149087,4.838050822920936e-07,-0.001256244839097201
2022-04-06,-0.00042570526298641733,3.7234499927736585e-07,-0.0004260776079856947
2022-04-07,-0.00013525348886592124,1.496628774842468e-07,-0.0001354031517434055
2022-04-08,0.00010626033035887811,2.3276616958720076e-07,0.00010602756418929091
2022-04-11,0.0013627973014659284,7.379315305416911e-08,0.0013627235083128741
2022-04-12,0.000591542969791578,5.1119571740344816e-08,0.0005914918502198377
2022-04-13,0.0003391068805919934,4.7294508243607375e-05,0.00029181237234838603
