symbol,mode,active_days,long_days,short_days,gross_pnl_sum,avg_active_pnl
AAPL,inverse_trend,13,0,13,-0.005060465689372634,-0.0003892665914902026
AAPL,flat,0,0,0,0.0,
MSFT,inverse_trend,1,1,0,0.0013972847002294395,0.0013972847002294395
MSFT,flat,0,0,0,0.0,
NVDA,inverse_trend,0,0,0,0.0,
NVDA,flat,0,0,0,0.0,
AVGO,inverse_trend,0,0,0,0.0,
AVGO,flat,0,0,0,0.0,
AMD,inverse_trend,1,0,1,0.0006079718234639227,0.0006079718234639227
AMD,flat,0,0,0,0.0,
ADBE,inverse_trend,4,0,4,0.001796747218591775,0.0004491868046479437
ADBE,flat,0,0,0,0.0,
CRM,inverse_trend,6,6,0,-0.00037967679423191875,-6.32794657053198e-05
CRM,flat,0,0,0,0.0,
CSCO,inverse_trend,7,6,1,-0.004801165277635459,-0.0006858807539479228
CSCO,flat,0,0,0,0.0,
INTC,inverse_trend,2,0,2,-0.0008091386581527958,-0.0004045693290763979
INTC,flat,0,0,0,0.0,
ORCL,inverse_trend,0,0,0,0.0,
ORCL,flat,0,0,0,0.0,
QCOM,inverse_trend,14,14,0,-0.005824632816887454,-0.00041604520120624674
QCOM,flat,0,0,0,0.0,
TXN,inverse_trend,31,17,14,0.010262470385262044,0.0003310474317826466
TXN,flat,0,0,0,0.0,
