date,AAPL,MSFT,NVDA,AVGO,AMD,ADBE,CRM,CSCO,INTC,ORCL,QCOM,TXN
2021-12-08,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-09,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-10,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-13,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-14,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-15,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-16,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-17,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion,flat,flat
2021-12-20,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-21,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-22,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-23,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-27,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-28,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-29,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2021-12-30,flat,flat,flat,flat,flat,flat,flat,mean_reversion,flat,flat,flat,flat
2021-12-31,flat,flat,flat,flat,flat,flat,flat,mean_reversion,flat,flat,flat,flat
2022-01-03,flat,flat,flat,flat,flat,flat,flat,mean_reversion,flat,flat,flat,flat
2022-01-04,flat,flat,flat,flat,flat,flat,flat,mean_reversion,flat,flat,flat,flat
2022-01-05,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-01-06,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-01-07,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-01-10,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-01-11,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-01-12,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-01-13,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-01-14,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-01-18,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-01-19,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-01-20,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-01-21,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-01-24,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-01-25,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-01-26,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-01-27,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-01-28,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-01-31,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-02-01,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-02-02,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-02-03,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-02-04,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-02-07,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-08,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-09,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-10,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-11,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-14,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-15,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-16,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-17,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-18,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-22,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-23,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-24,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-25,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-02-28,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-03-01,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-03-02,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-03-03,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-03-04,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-07,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-03-08,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-03-09,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-03-10,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-03-11,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-14,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-15,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-16,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-17,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-18,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-21,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-22,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-23,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-24,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-25,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-28,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,mean_reversion
2022-03-29,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-03-30,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-03-31,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-01,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-04,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-05,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-06,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-07,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-08,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-11,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-12,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-13,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-14,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-18,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-19,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-20,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-21,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-22,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-25,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-26,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-27,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-28,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-04-29,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-02,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-03,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-04,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-05,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-06,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-09,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-10,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-11,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-12,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-13,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-16,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-17,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-18,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-19,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-20,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-23,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-24,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-25,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-26,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-27,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-05-31,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-01,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-02,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-03,flat,flat,flat,flat,flat,flat,mean_reversion,flat,flat,flat,flat,flat
2022-06-06,flat,flat,flat,flat,flat,flat,mean_reversion,flat,flat,flat,flat,flat
2022-06-07,flat,flat,flat,flat,flat,flat,mean_reversion,flat,flat,flat,flat,flat
2022-06-08,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-09,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-10,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-13,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-14,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-15,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-16,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-17,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-21,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-22,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-23,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-24,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-27,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-28,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-29,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-06-30,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
2022-07-01,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat
