symbol,mode,active_days,long_days,short_days,gross_pnl_sum,avg_active_pnl
AAPL,mean_reversion,35,0,35,0.002155128725777748,6.157510645079281e-05
AAPL,inverse_trend,13,0,13,-0.005060465689372634,-0.0003892665914902026
AAPL,flat,0,0,0,0.0,
MSFT,mean_reversion,59,39,20,0.012794646220407858,0.00021685841051538742
MSFT,inverse_trend,1,1,0,0.0013972847002294395,0.0013972847002294395
MSFT,flat,0,0,0,0.0,
NVDA,mean_reversion,49,20,29,0.0020929940287511524,4.271416385206436e-05
NVDA,inverse_trend,0,0,0,0.0,
NVDA,flat,0,0,0,0.0,
AVGO,mean_reversion,69,7,62,-0.0004559562139978663,-6.6080610724328446e-06
AVGO,inverse_trend,0,0,0,0.0,
AVGO,flat,0,0,0,0.0,
AMD,mean_reversion,52,23,29,-0.0019267620941378143,-3.705311719495799e-05
AMD,inverse_trend,1,0,1,0.0006079718234639227,0.0006079718234639227
AMD,flat,0,0,0,0.0,
ADBE,mean_reversion,22,22,0,7.967039365748595e-05,3.6213815298857063e-06
ADBE,inverse_trend,4,0,4,0.001796747218591775,0.0004491868046479437
ADBE,flat,0,0,0,0.0,
CRM,mean_reversion,45,14,31,-0.001953760767087446,-4.341690593527661e-05
CRM,inverse_trend,6,6,0,-0.00037967679423191875,-6.32794657053198e-05
CRM,flat,0,0,0,0.0,
CSCO,mean_reversion,28,0,28,-0.0022145342637441843,-7.909050941943515e-05
CSCO,inverse_trend,7,6,1,-0.004801165277635459,-0.0006858807539479228
CSCO,flat,0,0,0,0.0,
INTC,mean_reversion,92,13,79,-0.014721543295703084,-0.0001600167749532944
INTC,inverse_trend,2,0,2,-0.0008091386581527958,-0.0004045693290763979
INTC,flat,0,0,0,0.0,
ORCL,mean_reversion,48,0,48,-0.00158405742424568,-3.300119633845166e-05
ORCL,inverse_trend,0,0,0,0.0,
ORCL,flat,0,0,0,0.0,
QCOM,mean_reversion,10,7,3,-0.0008965219844747081,-8.96521984474708e-05
QCOM,inverse_trend,14,14,0,-0.005824632816887454,-0.00041604520120624674
QCOM,flat,0,0,0,0.0,
TXN,mean_reversion,33,8,25,-0.0014153036874985838,-4.288799053026012e-05
TXN,inverse_trend,31,17,14,0.010262470385262044,0.0003310474317826466
TXN,flat,0,0,0,0.0,
