Hybrid residual variant comparison

Variant summary:
                            variant                                                                                      description  cum_return  mean_bar_return  bar_vol    sharpe  max_drawdown  hit_rate  turnover  avg_gross_exposure  active_rate  position_change_count
                    baseline_hybrid         Original hybrid rule: trend and mean-reversion enabled with 0.60/0.40 probability bands.   -0.047987        -0.000047 0.001449 -0.516826     -0.067261  0.441176  0.057798            0.179350     0.920588              58.954310
                 inverse_trend_only  Only trades baseline trend entries, but flips the sign to test whether trend mode is backwards.    0.010389         0.000010 0.000617  0.265613     -0.023973  0.178431  0.022636            0.040400     0.339216              23.088266
            pure_inverse_trend_only          Trend-only gate, flipped sign; mean-reversion state cannot block inverse-trend entries.    0.010389         0.000010 0.000617  0.265613     -0.023973  0.178431  0.022636            0.040400     0.339216              23.088266
          strict_inverse_trend_only                   Pure inverse-trend with stricter P(trend)>=0.65 and |trend_score|>=1.50 entry.    0.001949         0.000002 0.000282  0.109675     -0.006694  0.039216  0.004320            0.006764     0.070588               4.406909
         strict_mean_reversion_only Disables trend entries and requires P(trend)<=0.35 plus |displacement|>=1.50 for mean reversion.    0.011944         0.000012 0.000745  0.254023     -0.016704  0.219608  0.015854            0.050037     0.423529              16.170980
strict_mr_plus_strict_inverse_trend                Strict mean-reversion has priority; otherwise trade strict inverse-trend entries.    0.013941         0.000014 0.000813  0.271368     -0.015570  0.244118  0.020098            0.056383     0.466667              20.500352
             high_confidence_hybrid                Hybrid rule with wider probability bands: trend >=0.65 and mean reversion <=0.35.    0.006527         0.000007 0.000967  0.112369     -0.025127  0.305882  0.031262            0.088246     0.627451              31.887608

Mode attribution:
                            variant           mode  cum_return  mean_bar_return  bar_vol    sharpe  max_drawdown  hit_rate  turnover  avg_gross_exposure  active_rate  position_change_count  gross_pnl_sum  transaction_cost_sum  net_pnl_sum  active_observations  active_hit_rate
                    baseline_hybrid          trend   -0.032523        -0.000032 0.000618 -0.828394     -0.036250  0.148039  0.022636            0.040400     0.339216              23.088266      -0.021926              0.010943    -0.032869                  346         0.436416
                    baseline_hybrid mean_reversion   -0.016007        -0.000015 0.001328 -0.178586     -0.041820  0.426471  0.037207            0.147305     0.872549              37.951244       0.002487              0.017724    -0.015237                  890         0.488764
                    baseline_hybrid           flat    0.000000         0.000000 0.000000       NaN      0.000000  0.000000  0.000000            0.000000     0.000000               0.000000       0.000000              0.000000     0.000000                    0              NaN
                 inverse_trend_only  inverse_trend    0.010389         0.000010 0.000617  0.265613     -0.023973  0.178431  0.022636            0.040400     0.339216              23.088266       0.021926              0.011396     0.010529                  346         0.526012
                 inverse_trend_only           flat    0.000000         0.000000 0.000000       NaN      0.000000  0.000000  0.000000            0.000000     0.000000               0.000000       0.000000              0.000000     0.000000                    0              NaN
            pure_inverse_trend_only  inverse_trend    0.010389         0.000010 0.000617  0.265613     -0.023973  0.178431  0.022636            0.040400     0.339216              23.088266       0.021926              0.011396     0.010529                  346         0.526012
            pure_inverse_trend_only           flat    0.000000         0.000000 0.000000       NaN      0.000000  0.000000  0.000000            0.000000     0.000000               0.000000       0.000000              0.000000     0.000000                    0              NaN
          strict_inverse_trend_only  inverse_trend    0.001949         0.000002 0.000282  0.109675     -0.006694  0.039216  0.004320            0.006764     0.070588               4.406909       0.004191              0.002203     0.001988                   72         0.555556
          strict_inverse_trend_only           flat    0.000000         0.000000 0.000000       NaN      0.000000  0.000000  0.000000            0.000000     0.000000               0.000000       0.000000              0.000000     0.000000                    0              NaN
         strict_mean_reversion_only mean_reversion    0.011944         0.000012 0.000745  0.254023     -0.016704  0.219608  0.015854            0.050037     0.423529              16.170980       0.019822              0.007667     0.012156                  432         0.518519
         strict_mean_reversion_only           flat    0.000000         0.000000 0.000000       NaN      0.000000  0.000000  0.000000            0.000000     0.000000               0.000000       0.000000              0.000000     0.000000                    0              NaN
strict_mr_plus_strict_inverse_trend mean_reversion    0.011967         0.000012 0.000745  0.254503     -0.016701  0.219608  0.015854            0.050037     0.423529              16.170980       0.019822              0.007644     0.012179                  432         0.518519
strict_mr_plus_strict_inverse_trend  inverse_trend    0.001965         0.000002 0.000282  0.110555     -0.006683  0.039216  0.004320            0.006764     0.070588               4.406909       0.004191              0.002188     0.002004                   72         0.555556
strict_mr_plus_strict_inverse_trend           flat    0.000000         0.000000 0.000000       NaN      0.000000  0.000000  0.000000            0.000000     0.000000               0.000000       0.000000              0.000000     0.000000                    0              NaN
             high_confidence_hybrid          trend   -0.016007        -0.000016 0.000378 -0.661146     -0.016938  0.065686  0.009557            0.016407     0.160784               9.748182      -0.011391              0.004673    -0.016064                  164         0.408537
             high_confidence_hybrid mean_reversion    0.022892         0.000023 0.000900  0.398700     -0.017110  0.279412  0.022285            0.074030     0.552941              22.730450       0.033942              0.010896     0.023046                  564         0.505319
             high_confidence_hybrid           flat    0.000000         0.000000 0.000000       NaN      0.000000  0.000000  0.000000            0.000000     0.000000               0.000000       0.000000              0.000000     0.000000                    0              NaN
