fold_id,train_start,train_end,inner_train_start,inner_train_end,validation_start,validation_end,test_start,test_end,selected_candidate,selected_family,trend_probability_entry,trend_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,trend_cells,mean_reversion_cells,flat_cells,mr_probability_entry,mr_entry_score
0,2020-07-01,2022-06-06,2020-07-01,2021-12-10,2021-12-13,2022-06-06,2022-06-07,2022-09-01,invtrend_p070_s125,inverse_trend,0.7,1.25,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1525,,
1,2020-09-28,2022-09-01,2020-09-28,2022-03-09,2022-03-10,2022-09-01,2022-09-02,2022-11-29,mr_p040_s200,mean_reversion,,,-0.009251871490073449,-0.00015158957298677265,0.0012538821899976747,-1.9191674369705451,-0.019832521135131564,0.47540983606557374,0.07963884722307069,0.2990719574130045,0.9180327868852459,4.857969680607312,0,154,1371,0.4,2.0
2,2020-12-24,2022-11-29,2020-12-24,2022-06-06,2022-06-07,2022-11-29,2022-11-30,2023-02-24,invtrend_p060_s150,inverse_trend,0.6,1.5,-0.005681616476550966,-9.630997126313027e-05,0.0007247457054524969,-2.1095308118777516,-0.0067557559537733125,0.13559322033898305,0.0313255895922278,0.08098152276779558,0.3559322033898305,1.8482097859414401,0,0,1452,,
3,2021-03-23,2023-02-24,2021-03-23,2022-09-01,2022-09-02,2023-02-24,2023-02-27,2023-05-24,mr_p030_s125,mean_reversion,,,0.0036646659880776866,5.905868159685715e-05,0.0003418571864242077,2.742453699435811,-0.00274778550454291,0.20967741935483872,0.02304233659727942,0.05949883596458989,0.45161290322580644,1.4286248690313241,0,44,1506,0.3,1.25
4,2021-06-18,2023-05-24,2021-06-18,2022-11-29,2022-11-30,2023-05-24,2023-05-25,2023-08-21,mr_p030_s150,mean_reversion,,,0.0014559422765660912,2.4347371010025733e-05,0.00044888678467772076,0.8610245296082839,-0.00201228744625781,0.2,0.03656205696481814,0.0667422646214346,0.43333333333333335,2.193723417889088,0,36,1464,0.3,1.5
5,2021-09-15,2023-08-21,2021-09-15,2023-02-24,2023-02-27,2023-08-21,2023-08-22,2023-11-16,mr_p030_s150,mean_reversion,,,-0.0008339429322791192,-1.3346219521708215e-05,0.00047296532476821655,-0.44794968190896317,-0.004353999182547086,0.12903225806451613,0.01824298698606684,0.08884863485678032,0.27419354838709675,1.131065193136144,0,17,1533,0.3,1.5
6,2021-12-13,2023-11-16,2021-12-13,2023-05-24,2023-05-25,2023-11-16,2023-11-17,2024-02-13,mr_p030_s175__inv_p070_s125,mean_reversion_plus_inverse_trend,0.7,1.25,0.001879540343614261,3.195615981163613e-05,0.0005125114113019772,0.9898088103456014,-0.0017629674950604413,0.22033898305084745,0.03982696203465193,0.0759441987376782,0.4406779661016949,2.349790760044464,0,25,1449,0.3,1.75
7,2022-03-10,2024-02-13,2022-03-10,2023-08-21,2023-08-22,2024-02-13,2024-02-14,2024-05-10,invtrend_p065_s125,inverse_trend,0.65,1.25,-0.00821349345798883,-0.00013508674817510054,0.0004674617549393915,-4.587403405500804,-0.008871235479887107,0.06557377049180328,0.034657302522651826,0.06973159139667505,0.26229508196721313,2.1140954538817613,0,0,1506,,
8,2022-06-07,2024-05-10,2022-06-07,2023-11-16,2023-11-17,2024-05-10,2024-05-13,2024-08-07,mr_p030_s200,mean_reversion,,,0.0018364071887291278,3.0621058999742595e-05,0.00029199492725937433,1.664735228556698,-0.0007698438691703391,0.05,0.0043814780537494245,0.006903303442129245,0.11666666666666667,0.26288868322496545,0,7,1493,0.3,2.0
9,2022-09-02,2024-08-07,2022-09-02,2024-02-13,2024-02-14,2024-08-07,2024-08-08,2024-11-04,mr_p030_s125,mean_reversion,,,-0.00036572343052609924,-5.899304430361358e-06,3.257577987187915e-05,-2.8747908708343104,-0.00036572343052609924,0.0,0.011759552550943913,0.005879776275471957,0.016129032258064516,0.7290922581585226,0,2,1548,0.3,1.25
