fold_id,selected_candidate,selected_family,description,trend_probability_entry,trend_entry_score,validation_selection_score,validation_cum_return,validation_sharpe,validation_max_drawdown,validation_active_rate,mr_probability_entry,mr_entry_score
0,invtrend_p070_s125,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,0.7,1.25,2.1187438841561557,0.0011651973662551995,2.1187438841561557,-0.00019679558157248422,0.049586776859504134,,
1,mr_p040_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,1.4266586786691668,0.009577752389782423,1.4266586786691668,-0.0070095896134027,0.7049180327868853,0.4,2.0
2,invtrend_p060_s150,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,0.6,1.5,0.6955296956241527,0.003033224751630481,0.6955296956241527,-0.00679096722047734,0.2786885245901639,,
3,mr_p030_s125,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,1.5959546824936603,0.00985630639176982,1.5959546824936603,-0.005250286563580953,0.55,0.3,1.25
4,mr_p030_s150,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,2.2964053019844863,0.01075548199731502,2.2964053019844863,-0.0035852394294839662,0.5537190082644629,0.3,1.5
5,mr_p030_s150,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,2.0319716853732985,0.0073921500257552175,2.0319716853732985,-0.004251181403649662,0.4426229508196721,0.3,1.5
6,mr_p030_s175__inv_p070_s125,mean_reversion_plus_inverse_trend,Mean-reversion has priority; otherwise inverse-trend entries are allowed.,0.7,1.25,2.1678887628157177,0.01167196609892529,2.1678887628157177,-0.0050894453849723575,0.5163934426229508,0.3,1.75
7,invtrend_p065_s125,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,0.65,1.25,0.49568416490927936,0.002482472386857948,0.49568416490927936,-0.007042259567713538,0.371900826446281,,
8,mr_p030_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,0.08635770587793615,0.00039817494685068233,0.08635770587793615,-0.006377012789545944,0.5916666666666667,0.3,2.0
9,mr_p030_s125,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,-0.28563362570713535,-0.001526192523089831,-0.28563362570713535,-0.00561463546176777,0.4380165289256198,0.3,1.25
10,invtrend_p070_s150,inverse_trend,Inverse-trend only with tuned probability and trend-score thresholds.,0.7,1.5,1.8507072339112627,0.00172305608179113,1.8507072339112627,-0.00018971696121705683,0.05737704918032787,,
11,mr_p040_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,2.7199058522494,0.02764242023484731,2.7199058522494,-0.006742386984948667,0.8916666666666667,0.4,2.0
12,mr_p035_s175,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,2.16277569019396,0.01896193784739597,2.16277569019396,-0.007777675654556893,0.9663865546218487,0.35,1.75
13,mr_p030_s200,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,1.5097822810106962,0.0044690923110903835,1.5097822810106962,-0.0026038538485295692,0.30578512396694213,0.3,2.0
14,mr_p030_s175,mean_reversion,Mean-reversion only with tuned probability and displacement thresholds.,,,1.4843087363693983,0.008234481779224812,1.4843087363693983,-0.0027505941980375814,0.22131147540983606,0.3,1.75
