date,XLK__AAPL,XLK__MSFT,XLK__NVDA,XLK__AVGO,XLK__AMD,XLK__JPM,XLK__BAC,XLK__GS,XLK__MS,XLK__C,XLK__XOM,XLK__CVX,XLK__COP,XLK__SLB,XLK__EOG,XLK__LLY,XLK__JNJ,XLK__MRK,XLK__ABBV,XLK__UNH,XLK__CAT,XLK__HON,XLK__UNP,XLK__UPS,XLK__LMT,SPY__AAPL,SPY__MSFT,SPY__NVDA,SPY__AVGO,SPY__AMD,SPY__JPM,SPY__BAC,SPY__GS,SPY__MS,SPY__C,SPY__XOM,SPY__CVX,SPY__COP,SPY__SLB,SPY__EOG,SPY__LLY,SPY__JNJ,SPY__MRK,SPY__ABBV,SPY__UNH,SPY__CAT,SPY__HON,SPY__UNP,SPY__UPS,SPY__LMT,XLF__AAPL,XLF__MSFT,XLF__NVDA,XLF__AVGO,XLF__AMD,XLF__JPM,XLF__BAC,XLF__GS,XLF__MS,XLF__C,XLF__XOM,XLF__CVX,XLF__COP,XLF__SLB,XLF__EOG,XLF__LLY,XLF__JNJ,XLF__MRK,XLF__ABBV,XLF__UNH,XLF__CAT,XLF__HON,XLF__UNP,XLF__UPS,XLF__LMT,XLE__AAPL,XLE__MSFT,XLE__NVDA,XLE__AVGO,XLE__AMD,XLE__JPM,XLE__BAC,XLE__GS,XLE__MS,XLE__C,XLE__XOM,XLE__CVX,XLE__COP,XLE__SLB,XLE__EOG,XLE__LLY,XLE__JNJ,XLE__MRK,XLE__ABBV,XLE__UNH,XLE__CAT,XLE__HON,XLE__UNP,XLE__UPS,XLE__LMT,XLV__AAPL,XLV__MSFT,XLV__NVDA,XLV__AVGO,XLV__AMD,XLV__JPM,XLV__BAC,XLV__GS,XLV__MS,XLV__C,XLV__XOM,XLV__CVX,XLV__COP,XLV__SLB,XLV__EOG,XLV__LLY,XLV__JNJ,XLV__MRK,XLV__ABBV,XLV__UNH,XLV__CAT,XLV__HON,XLV__UNP,XLV__UPS,XLV__LMT,XLI__AAPL,XLI__MSFT,XLI__NVDA,XLI__AVGO,XLI__AMD,XLI__JPM,XLI__BAC,XLI__GS,XLI__MS,XLI__C,XLI__XOM,XLI__CVX,XLI__COP,XLI__SLB,XLI__EOG,XLI__LLY,XLI__JNJ,XLI__MRK,XLI__ABBV,XLI__UNH,XLI__CAT,XLI__HON,XLI__UNP,XLI__UPS,XLI__LMT
2022-06-07,1.030316358398239,0.9371687499363924,1.8437781268850872,0.9753128236217147,1.5895228830250296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.417436078579989,-0.4647822763453979,0.09216940556772583,0.10493952425669308,-0.2581953007890817,-0.1639585480801805,-0.0029080112498561655,-0.04336507268086598,-0.1598376152492177,-0.082555196417235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5032600909939848,1.626324825334192,0.9618480779966652,1.148904837915694,1.4025045579352962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0116293654430066,0.865075370614907,1.1629774185084891,1.351647829803799,1.1906038444102054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9280583424136,0.5487276812284818,0.5181480957041218,0.639130063750894,0.9811037900759758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0040769660688074,0.8753799208913337,0.8893966006119709,1.1766366286282381,0.24493373710640234
2022-06-08,1.0295327057811294,0.93688430688265,1.844154454284964,0.9792674025021767,1.5838031503621246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4565842544362747,-0.4693319019935293,0.08681313936028436,0.10357926292618387,-0.2678716037295345,-0.1625439312328731,0.003151317650673672,-0.04596129793390293,-0.16048317070303442,-0.09559972512707988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5290387896479252,1.628882450078482,0.963223732574907,1.1475175787736518,1.411945909261664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.025956775473838,0.8618073411250723,1.17157770250206,1.3508955403331566,1.1880265295562205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9503428775102618,0.5539812448123415,0.5205115920173692,0.6546180198830599,0.974881573725374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0206359981378077,0.8700494159865538,0.9091729609368544,1.1428534424039463,0.269758046964346
2022-06-09,1.022321155043225,0.9386259555482428,1.8417411102990981,0.980582547886181,1.5953703221770543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5448294021950068,-0.4572543296390837,-0.05069655696471537,-0.04871287040455147,-0.38476434189468484,-0.16615838123879537,-0.0021830999903515915,-0.043907825374329995,-0.1726395586369994,-0.10235650700860666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.621985321083482,1.6044221574517759,1.1189680563261557,1.320346986510157,1.5333713608133488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0191844195018067,0.8671117710307922,1.1899315304498044,1.3660582795559013,1.2231553729076174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9419274175409791,0.549462115594833,0.5361502584426281,0.6388589646679139,0.9722543618471717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9728087477146907,0.8719997827951863,0.9356423178135467,1.1610424728455297,0.30613063698088105
2022-06-10,1.0352917387025924,0.9260724348469836,1.8068802116333211,0.9592270879542238,1.5681955374108436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5600340125556893,-0.4443606917362839,-0.043739878275130865,-0.04988272425932925,-0.3913042835408134,-0.10050136548548175,0.06043289675582438,-0.14928626978471224,-0.17157329866921683,-0.21522765982599898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6214278576080055,1.61122120933205,1.1267221258241125,1.3103203736249103,1.5359007268513265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.969643675069279,0.8141014300810303,1.2791863218213084,1.3664523501425216,1.312564208605323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9674599573651222,0.5390240479660914,0.5545414831112153,0.6381655732562139,0.9403090745092977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0074930113932976,0.8521207518643216,0.9433207075107481,1.1258212827027807,0.330956794789974
2022-06-13,1.0385974039066344,0.9425199234046661,1.7829267778210374,0.9542625329681809,1.5388459642104584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5497363930575282,-0.43679728641615206,-0.07164577563091848,-0.0027532745337375914,-0.40379424671528047,-0.09583371823570501,0.052402223841312046,-0.17665933620271737,-0.11295709373466832,-0.27564045868843173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.602979549827442,1.593510504274268,1.1887899917498328,1.2178477628721143,1.5612716963830462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.972297148062733,0.81414540046537,1.290583502971582,1.33326138047729,1.3202869359310798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9911750746596594,0.5562067251007278,0.5779929459731378,0.6518911211941615,0.9465734521929807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0539605962863603,0.8609870662836125,0.9276767147195316,1.0604254765567795,0.40737762651406173
2022-06-14,1.0278709863742412,0.9440824371926629,1.7809976989477305,0.9613725051836444,1.575886046237255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5364934888041376,-0.4270054753364576,-0.14053779826684398,-0.025671326205927103,-0.3631430493089696,-0.09615136598862407,0.05324406073857898,-0.19504823111009675,-0.11789611402072214,-0.2567640549060746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5985396351018644,1.5985078158369672,1.2285437493934221,1.2204855178711937,1.5497798563958094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775912717278213,0.8246694960965163,1.2624149105870017,1.3262776502647482,1.345793978120693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9445331570190493,0.5325484220374759,0.606454091022559,0.6571024804906417,0.9506965045367141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0616543833167786,0.835337831148378,0.906183634234599,0.9746136006646274,0.401395405190448
2022-06-15,1.028034105772137,0.9462491793303734,1.7573616941100587,0.9664530652018061,1.5856664489873693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5443710614005237,-0.4298645476343611,-0.13575825000534117,-0.026100120513193163,-0.33371859937673576,-0.09264534586352569,0.04284187700386643,-0.20809307161783228,-0.12793217746041197,-0.24238356682024767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60842558657023,1.6039750979588467,1.2202428074825915,1.2158495603310833,1.515406753506905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9756579423615546,0.8304094403612743,1.2696619138833352,1.3320712806129582,1.3379676370508757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9412800060557842,0.551321916360802,0.6111650312813658,0.6605326653604543,0.9627418240935743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.066517482898105,0.8300463922216238,0.9117410973733829,0.9818986205766281,0.40547553387538315
2022-06-16,1.0271043716192565,0.9536618924705006,1.7643052739142484,0.9597943106404644,1.5801893969695158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5485694477608022,-0.43251478559648565,-0.10532291371091988,-0.0013908530632519513,-0.31443483530538824,-0.05749386605575988,0.0354832453669801,-0.18151950699259278,-0.1457627263237315,-0.21354732646997698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.613533856133868,1.6141790538901735,1.202169515442878,1.1902047260474002,1.516851839394107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939744055462333,0.8399127381482078,1.2525842409661685,1.3471555673995914,1.3046433408271219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9382800882698166,0.5576090220565152,0.6033821658928027,0.6597082769752572,0.958792219495835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0500204902825883,0.8310884884284109,0.9091780799195753,0.9839266384367901,0.39245351098880576
2022-06-17,1.0208321343613764,0.9379717131875491,1.76018295495442,0.9800438751393057,1.6212435545878123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5616422387787058,-0.47711706494902256,-0.14409216653614768,-0.012445450729242205,-0.37505404792068836,-0.06531201498041377,0.03083769644023585,-0.1868308581888585,-0.1687340501932756,-0.21589349555759446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6193542381204071,1.6161557810911038,1.2393664899327343,1.2018989871738952,1.57746237318359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9198939116421575,0.8497259293380756,1.2517039208981178,1.3623678496036173,1.2953689115964822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9478760917485886,0.5493155907460481,0.5921880116235568,0.6383451053749386,0.9644902289900538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1081276984552175,0.8305582327531857,0.8500882627092451,0.9554797649080365,0.415011236892391
2022-06-21,1.0307374124839646,0.9385674945049709,1.7597310017039118,0.9756924507634515,1.6190251180308772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.545026855465381,-0.470157128362338,-0.09415181424503755,0.020705801029623893,-0.3504364455744319,-0.08777010634786014,0.03249957368608283,-0.22047548369913064,-0.09636693068001813,-0.2055110411345831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6000459959526365,1.6073062251261785,1.1768456570905192,1.1621442938426962,1.5487013197750172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9440547061205599,0.8466141016750401,1.2911420933370896,1.284042602944385,1.2830188816139072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9668269874164213,0.5570136384442538,0.612096221548859,0.6415488613615097,0.9828501229662213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1114241865999688,0.8269275210891661,0.8583294450136312,0.9515432999223659,0.4224574539244426
