symbol,mode,active_days,long_days,short_days,gross_pnl_sum,avg_active_pnl
AAPL,mean_reversion,4,0,4,0.00018623903065008419,4.6559757662521046e-05
AAPL,inverse_trend,7,0,7,-0.004331864003890037,-0.0006188377148414339
AAPL,flat,0,0,0,0.0,
MSFT,mean_reversion,40,23,17,-0.0006438481736779057,-1.609620434194763e-05
MSFT,inverse_trend,0,0,0,0.0,
MSFT,flat,0,0,0,0.0,
NVDA,mean_reversion,24,6,18,-0.0004888445053426226,-2.0368521055942597e-05
NVDA,inverse_trend,0,0,0,0.0,
NVDA,flat,0,0,0,0.0,
AVGO,mean_reversion,14,0,14,0.009056562864202403,0.0006468973474430288
AVGO,inverse_trend,0,0,0,0.0,
AVGO,flat,0,0,0,0.0,
AMD,mean_reversion,21,20,1,0.0032200248121896542,0.00015333451486617398
AMD,inverse_trend,0,0,0,0.0,
AMD,flat,0,0,0,0.0,
JPM,mean_reversion,3,0,3,-0.0033615096519708865,-0.0011205032173236286
JPM,inverse_trend,0,0,0,0.0,
JPM,flat,0,0,0,0.0,
BAC,mean_reversion,11,8,3,-0.0019693347640679796,-0.00017903043309708898
BAC,inverse_trend,15,13,2,-0.009034927021194523,-0.0006023284680796348
BAC,flat,0,0,0,0.0,
GS,mean_reversion,10,10,0,0.006607753124548531,0.0006607753124548531
GS,inverse_trend,0,0,0,0.0,
GS,flat,0,0,0,0.0,
MS,mean_reversion,7,0,7,0.0009445024164563632,0.0001349289166366233
MS,inverse_trend,0,0,0,0.0,
MS,flat,0,0,0,0.0,
C,mean_reversion,2,1,1,-0.0019628391217919716,-0.0009814195608959858
C,inverse_trend,0,0,0,0.0,
C,flat,0,0,0,0.0,
XOM,mean_reversion,45,0,45,0.015360491766976526,0.0003413442614883673
XOM,inverse_trend,0,0,0,0.0,
XOM,flat,0,0,0,0.0,
CVX,mean_reversion,11,7,4,0.00700317420523963,0.0006366522004763301
CVX,inverse_trend,12,0,12,-0.008472628213939775,-0.0007060523511616478
CVX,flat,0,0,0,0.0,
COP,mean_reversion,20,11,9,0.005395635089032206,0.0002697817544516103
COP,inverse_trend,0,0,0,0.0,
COP,flat,0,0,0,0.0,
SLB,mean_reversion,10,10,0,-0.0011854175641796748,-0.00011854175641796748
SLB,inverse_trend,2,0,2,-0.0004848526830241274,-0.0002424263415120637
SLB,flat,0,0,0,0.0,
EOG,mean_reversion,34,26,8,0.011036538293360362,0.0003246040674517754
EOG,inverse_trend,0,0,0,0.0,
EOG,flat,0,0,0,0.0,
LLY,mean_reversion,12,0,12,0.0005808322794218135,4.840268995181778e-05
LLY,inverse_trend,0,0,0,0.0,
LLY,flat,0,0,0,0.0,
JNJ,mean_reversion,46,3,43,-0.006102005533838911,-0.00013265229421388937
JNJ,inverse_trend,0,0,0,0.0,
JNJ,flat,0,0,0,0.0,
MRK,mean_reversion,33,25,8,0.0007393616665252753,2.2404898985614403e-05
MRK,inverse_trend,0,0,0,0.0,
MRK,flat,0,0,0,0.0,
ABBV,mean_reversion,12,12,0,-0.001537459777439603,-0.0001281216481199669
ABBV,inverse_trend,1,0,1,0.0004317624309649903,0.0004317624309649903
ABBV,flat,0,0,0,0.0,
UNH,mean_reversion,26,16,10,0.010281267936865682,0.00039543338218714163
UNH,inverse_trend,5,0,5,0.00046524296420391836,9.304859284078363e-05
UNH,flat,0,0,0,0.0,
CAT,mean_reversion,25,11,14,-0.009805141603751118,-0.0003922056641500447
CAT,inverse_trend,0,0,0,0.0,
CAT,flat,0,0,0,0.0,
HON,mean_reversion,7,0,7,0.003910210530760609,0.0005586015043943727
HON,inverse_trend,2,2,0,-0.0035199278065586904,-0.0017599639032793452
HON,flat,0,0,0,0.0,
UNP,mean_reversion,39,34,5,0.003986374345129095,0.00010221472679818191
UNP,inverse_trend,0,0,0,0.0,
UNP,flat,0,0,0,0.0,
UPS,mean_reversion,23,23,0,0.0003363422547536006,1.4623576293634813e-05
UPS,inverse_trend,0,0,0,0.0,
UPS,flat,0,0,0,0.0,
LMT,mean_reversion,27,2,25,0.0006852107135963455,2.5378174577642442e-05
LMT,inverse_trend,1,0,1,6.436580906720731e-05,6.436580906720731e-05
LMT,flat,0,0,0,0.0,
