date,AAPL,MSFT,NVDA,AVGO,AMD,ADBE,CRM,CSCO,INTC,ORCL,QCOM,TXN,XLK
2020-07-01,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.04962480160967792
2020-07-02,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.04947689478064805
2020-07-06,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.00028491854477594863
2020-07-07,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0005653182608914425
2020-07-08,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,0.05,0.0,0.0,0.0,0.0,0.05246544792214403
2020-07-09,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,0.05,0.0,0.0,0.0,0.0,0.05281577234085806
2020-07-10,0.0,-0.05,0.0,0.0,0.0,-0.05,-0.05,0.05,0.0,0.0,0.0,0.0,0.10073013210441356
2020-07-13,0.0,-0.05,0.0,0.0,0.0,-0.05,-0.05,0.05,0.0,0.0,0.0,0.0,0.10237514790663263
2020-07-14,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0025868476712257726
2020-07-15,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.00298951169580057
2020-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.048032213638566204
2020-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.04726471888607526
2020-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2020-07-23,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05650676559853807
2020-07-24,0.05,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01114419476872753
2020-07-27,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,-0.101034903227323
2020-07-28,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04721784739885239
2020-07-29,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04856470727097695
2020-07-30,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04872570481169793
2020-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.05852237853964423
2020-08-03,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.10940944325397074
2020-08-04,-0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,-0.05,0.0,0.010840115058626469
2020-08-05,-0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,-0.05,0.0,0.010595019920508347
2020-08-06,-0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,-0.05,0.0,0.010616213155687393
2020-08-07,-0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05,-0.05,0.0,-0.018221892927835222
2020-08-10,-0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05,-0.05,0.0,-0.015292021748156852
2020-08-11,-0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05,-0.05,0.0,-0.015488435627489305
2020-08-12,-0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.05,-0.05,0.0,-0.016796109174947726
2020-08-13,-0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.05,-0.05,0.0,-0.0664066523222601
2020-08-14,-0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0,0.05,-0.05,0.0,-0.10661334989792984
2020-08-17,-0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.0,0.05,-0.05,0.0,-0.10598172219598133
2020-08-18,-0.05,0.0,-0.05,0.05,0.0,0.05,0.05,0.05,0.0,0.05,-0.05,0.0,-0.0492486961269313
2020-08-19,-0.05,0.0,-0.05,0.05,0.0,0.05,0.0,0.05,0.0,0.05,-0.05,0.0,0.002972876380162748
2020-08-20,-0.05,0.0,-0.05,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,-0.022929019305249113
2020-08-21,-0.05,0.0,-0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.029272405743598975
2020-08-24,-0.05,0.05,-0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.025193789282933518
2020-08-25,0.0,0.05,-0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.08454941912658813
2020-08-26,0.0,0.05,-0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.08432788828066766
