symbol,sector_etf,active_days,long_days,short_days
AAPL,XLK,317,186,131
MSFT,XLK,359,182,177
NVDA,XLK,301,132,169
AVGO,XLK,332,103,229
AMD,XLK,260,141,119
JPM,XLF,273,106,167
BAC,XLF,295,156,139
GS,XLF,347,193,154
MS,XLF,301,128,173
C,XLF,281,144,137
XOM,XLE,301,127,174
CVX,XLE,351,170,181
COP,XLE,340,192,148
SLB,XLE,448,323,125
EOG,XLE,426,235,191
LLY,XLV,308,173,135
JNJ,XLV,301,142,159
MRK,XLV,296,206,90
ABBV,XLV,288,185,103
UNH,XLV,267,118,149
CAT,XLI,264,141,123
HON,XLI,308,212,96
UNP,XLI,399,234,165
UPS,XLI,311,241,70
LMT,XLI,299,195,104
