date,AAPL,MSFT,NVDA,AVGO,AMD,JPM,BAC,GS,MS,C,XOM,CVX,COP,SLB,EOG,LLY,JNJ,MRK,ABBV,UNH,CAT,HON,UNP,UPS,LMT,XLK,XLF,XLE,XLV,XLI,SPY
2020-01-02,10159614771.650002,3631934139.54,1421120799.78,633698810.9200001,3935890320.9,1524021870.39,1340479312.92,875490284.64,387162612.48,1033926063.71,879471038.3000001,632036228.49,269856297.06000006,349237738.98,204254982.54,254799342.72000003,822114425.66,724656231.0,461924421.75000006,743912325.0,498528565.66,516581933.60999995,423032630.24,480296889.57000005,458480753.7,1240508148.66,895062508.1999999,723571942.34,636881250.18,1332906428.7900002,19077189945.45
2020-01-03,10873607741.92,3348341938.48,1211012660.1599998,679362040.35,3551853385.8,1436847935.68,1757365523.6999998,526711804.66,335291033.6,991255121.3000001,1218965538.05,725354148.6700001,416063054.70000005,385592076.48,312945248.58000004,239650362.54000002,818987385.0,514006596.25,508976477.3,781171102.4200001,440909105.4,501712495.02000004,413487539.71999997,281086621.36,1207725264.56,1386175761.0,1579429285.5,1781146411.6000001,830819276.92,1445436311.2500002,25048666774.853703
2020-01-06,8866712415.0,3100942827.18,1516025724.8400002,651908591.4000001,2307069802.98,1396514190.8999999,1424721599.3,778226720.6999999,381450723.88,797225850.0500001,1421645254.74,1199044998.0,586332725.2800001,633814630.02,750285250.4399999,277902331.32,945661725.8,624629603.36,606324031.2,818263355.35,377897336.72,549719003.3399999,563564689.23,392623532.0,922748935.0400001,713823470.1,859043813.1800001,1366613431.0200002,656196521.83,1338765281.2800002,17969469545.52
2020-01-07,8116419856.9,3405269289.9800005,1881853046.0600002,574815214.4000001,2793849858.0,1432772256.72,1182247623.5400002,1267565664.77,232535905.72,824672725.8000001,1223774063.8200002,935574313.4200001,397330683.6,445566422.4,385734139.35,324423172.91999996,1070729782.7599999,947593810.8000001,643786536.12,722561516.63,416837396.82,533331570.64000005,729983541.3299999,229302304.0,441736795.0,710705055.24,1209825102.07,695853527.46,644109239.3100001,1379220431.67,13014275078.86
2020-01-08,10003541817.0,4438933416.33,1664284631.66,987043014.96,2567624600.32,1327637408.2,1578964740.6,847516442.88,318946526.1,896002810.88,1047762127.3000001,858710128.1,420161929.88,446366842.53,466155939.04,693757410.33,957570099.84,1285027199.8000002,688973492.1600001,999170856.2000002,317286788.0,452483991.52,507207970.18,235183993.48,685153716.5699999,1087249653.45,1473964972.41,1135630222.16,766925487.9,886145476.6200001,22083140280.6
2020-01-09,13151636118.27,3462716675.34,1549221393.4400003,1297767255.94,3737395884.64,1301266664.16,1395984733.6000001,964663237.8,380072515.78000003,1032018747.76,1032732620.8000001,862908597.7800001,396754974.90000004,485735634.12,609652709.5,614581308.8000001,872912545.8199999,828089075.32,678067795.0799999,831914699.72,334445995.05,320300718.3,592912520.1,251575947.37,441380957.64,735499828.42,856591385.1600001,913203856.3500001,684514486.65,617317881.48,15775380785.900002
2020-01-10,10907193336.400002,3343333945.92,1931524044.4800003,1217939702.0400002,2122198787.475,1386588542.1299999,1380145092.1200001,544173457.19,401319004.51,797371022.0,829363338.8,744437715.04,473186523.52000004,322171048.99000007,254549038.43000004,576506592.0,731458667.36,507885515.41,764212015.02,731305873.43,349781444.15999997,298694889.0,523915325.78,294803522.07,408780446.34,723215205.3,1640586920.94,547305460.35,956074540.8,732901855.0,17264363428.62
2020-01-13,9615531842.56,3424688275.84,1960796732.8600001,663170952.62,1661795090.7450001,1661218972.0000002,1329133505.24,824270472.48,438918691.12,1334933317.0,694350437.1999999,798663576.14,239275440.69000003,455048816.53,290706340.08000004,710800645.08,669128707.0000001,876433495.09,819309606.8800001,1998505982.5000002,492281880.84,409733825.77000004,366090923.1,213203362.75,413367001.18,741167594.4,846288829.1999999,524850897.1,760643839.28,633774409.83,15091252849.4
2020-01-14,12641054243.16,3798981358.87,2218177020.4,882011776.36,1851948485.58,3290308826.0000005,2354667949.96,1039923490.12,496733507.58,2044853416.6700003,1125196221.2,792103599.5,398610224.9,551787331.94,369639851.64,658973380.0,1031128932.2400001,740181095.48,747935911.8000001,1744111992.48,396878383.24,395388145.34999996,507304550.40000004,304736414.76,400260097.59999996,766171374.08,1156854351.6,1035412537.2800001,747557355.78,805124158.16,20545819142.25
2020-01-15,9459417690.12,3489022400.1200004,1612787114.2500002,688283613.96,1944029477.67,2209406000.88,2590227076.35,1326266346.16,599553705.7,1304755832.4,786761891.37,674567931.03,255657350.0,526504483.02,222267259.96000004,518786540.59000003,729204147.3499999,839756378.7,757824183.76,1802503297.15,384383407.79999995,470042222.53999996,623891080.0,373634199.03000003,350661873.75,686089159.4399999,1271276529.88,643065825.6,781886744.1,1004053018.5500001,23357474876.313503
