date,AAPL,MSFT,NVDA,AVGO,AMD,JPM,BAC,GS,MS,C,XOM,CVX,COP,SLB,EOG,LLY,JNJ,MRK,ABBV,UNH,CAT,HON,UNP,UPS,LMT,XLK,XLF,XLE,XLV,XLI,SPY
2020-01-02,33825919,22611967,5923558,1965628,80160699,10801771,37611653,3736302,7439712,12728377,12404387,5204943,4122461,8693994,2427561,1927232,5632078,7873275,5158285,2543290,3311822,2857359,2320912,4112483,1148010,13283094,28798665,11944073,6235986,16057179,58722535
2020-01-03,36558544,21109204,5129888,2162265,73083403,10386352,50354313,2274427,6548653,12437329,17332085,5994167,6332771,9506708,3682142,1818702,5676375,5632949,5738179,2697973,2970285,2805057,2284714,2408213,2919044,15011650,51363554,29489179,8206433,17446425,77665733
2020-01-06,29575425,19499106,6395114,2077995,47676582,10102830,40881538,3326466,7476494,10034309,20059902,9942330,8819686,15527061,8483551,2101182,6562538,6816124,6782148,2806597,2547508,3096834,3140861,3378860,2233664,7815015,27954566,22451346,6441509,16153056,55523018
2020-01-07,27200710,21609781,7843342,1838585,57903624,10544394,34149267,5382673,4566691,10470705,17410358,7858007,5976695,10971840,4320015,2448292,7385362,10623249,7242508,2493397,2847639,3002824,4099419,1976744,1065710,7681637,39627419,11461926,6335293,16675377,40325582
2020-01-08,32994300,27727737,6923557,3197004,53682304,9695030,45151980,3564588,6184730,11290358,15134510,7295753,6470002,11326233,5337256,5188523,6605754,14503693,7696308,3376718,2148475,2545477,2817509,2015978,1666919,11627095,47965017,19019096,7494630,10677738,68063308
2020-01-09,42475329,21362926,6374872,4237469,76320112,9467889,39851120,3976353,7300663,12887347,14804080,7343278,6005070,12186042,6908246,4521640,6003938,9264814,7516548,2827526,2270355,1788690,3310511,2151509,1063748,7777306,27703473,15182109,6660645,7407222,48294446
2020-01-10,35147080,20722288,7905714,4070382,44061015,10190259,39727838,2247629,7686631,10061464,11995420,6393316,7233056,8088653,2950609,4177584,5042456,5672797,8580867,2477911,2393632,1671675,2944337,2544261,987798,7665238,53456726,9150735,9300336,8856820,53005322
2020-01-13,30336736,20974328,7781557,2201909,34091601,12108010,37910254,3361488,8316004,16552180,9947714,6846079,3673813,11599511,3399279,5115882,4592510,9791459,9255644,6991450,3352962,2260351,2034969,1826153,986509,7758480,27387988,8772370,7425262,7596481,46016932
2020-01-14,40428087,23431699,8970305,2862002,38414198,23705395,66666703,4233182,9397153,24964637,16260061,6810865,6119285,13958698,4281708,4685200,7037462,8230636,8479999,6050902,2705743,2191123,2805888,2598588,961840,8058176,37511490,17303017,7253613,9649139,62744905
2020-01-15,30382918,21381434,6567525,2270514,40045926,16160079,74710905,5408696,11325155,16060510,11387493,5808731,3933190,13736094,2562454,3676469,4960235,9173655,8490076,6081115,2640540,2600798,3450725,3168271,833025,7207576,41450164,10826024,7521758,12014515,71190565
2020-01-16,27563193,23749191,7080797,2150368,58626513,10470249,50279242,3887913,34566958,10408730,13332368,6836236,4315174,11756420,5128592,3793240,6476007,6919821,7051955,3709067,3042884,2215378,3227285,2211393,1085096,5770439,33472970,8222380,5479892,9493158,51832594
2020-01-17,33835842,33466835,6339583,2642079,57299456,14599049,52996523,3053542,15257708,12399076,18047443,7863769,4737125,17516879,4542049,5388685,9081076,9624580,9992619,4335731,3309233,2592991,3989198,3397370,1194102,10830322,38299294,11906008,6533144,7013382,95164520
2020-01-21,27601204,29486556,5444997,2196409,48905417,8444716,50781029,2491416,20831587,10517677,17973891,8468349,6973875,16701023,4522666,4849495,9525698,9562181,13551817,4662646,2476459,2188513,3440829,2960298,1071411,8872545,41063372,17349485,6643593,13004981,77537260
2020-01-22,25377748,24101987,5972347,2923765,40520366,7547364,38872388,2030913,10275765,8044736,17027066,5588989,6747974,12788962,4030354,2742065,10304760,7442403,6437080,3117478,3601553,1881653,2993328,2423358,918522,7745124,27383219,14674601,9431495,7490548,48620724
2020-01-23,26044006,19628833,6078670,2958287,39673193,9344008,45691296,2806657,10064536,11617822,19593114,8007711,6198114,11840601,3368137,3138684,8671014,12592277,12263788,3169548,3182693,2434031,4950536,2493728,978360,7476199,43071592,13269906,8522574,10758508,51768817
2020-01-24,36556883,24892220,9328504,5573669,79830349,15164413,47766125,2876788,9751967,15032316,18221165,6918656,5689475,10407530,3128803,3183267,9051874,14269759,13213278,3677800,2521724,2736905,2733964,2015141,1086663,11752255,58921073,20388001,15961218,13402179,87323583
2020-01-27,40034022,31322006,11725724,3864930,48580071,12854117,57042187,2505132,10648757,15858504,21202623,7607337,7197303,17281943,2967694,2826188,7258825,10328535,13464434,4353701,2918989,2491350,4183915,2903234,1736612,17771077,50283734,21673794,11750925,14950937,83729441
2020-01-28,39677665,24740149,7737612,2312320,60168279,13007683,38783968,3122833,9221072,10943431,19646842,5771810,4824046,10935085,2794242,2648924,7336322,9061019,8532340,4340584,2762034,2178375,3264448,2036855,2063111,15582436,34204903,14285397,7934757,14913413,63417341
2020-01-29,53995902,33938615,6438075,2355694,112210148,9323218,37393572,3711009,9025425,9471785,13804296,4771401,3996866,8995164,2700750,2794334,6179317,8034571,5622493,3962072,2618379,2198695,2270808,2845205,1268357,10547566,41150889,13744805,6424696,10355137,53672532
2020-01-30,31580446,51505133,7246736,2109817,70109159,9008458,50485781,3260265,8680955,12492948,18525284,8378515,6930370,10485768,4535643,5243419,6470001,10511087,10839875,4210428,3853999,3071005,2994369,9466564,1210229,9958272,51170710,24425941,10977144,13090181,74989120
2020-01-31,49713376,36094342,9242803,2209884,59979662,12723563,54834845,3482013,11284899,17096779,34270036,13697664,7672671,16887727,5003983,3913411,8651144,9180188,13812206,5532258,6783253,5498987,3653651,7229968,1650008,13437795,58901464,33428332,14474605,19028833,113538778
