date,AAPL,MSFT,NVDA,AVGO,AMD,JPM,BAC,GS,MS,C,XOM,CVX,COP,SLB,EOG,LLY,JNJ,MRK,ABBV,UNH,CAT,HON,UNP,UPS,LMT,XLK,XLF,XLE,XLV,XLI,SPY
2020-01-02,75.0875,160.62,5.99775,32.239000000000004,49.1,141.09,35.64,234.32,52.04,81.23,70.9,121.43,65.46000000000001,40.17,84.14,132.21,145.97,92.04,89.55000000000001,292.5,150.53,180.79,182.27,116.79,399.37,46.695,31.08,30.290000000000003,102.13,83.01,324.87
2020-01-03,74.3575,158.62,5.90175,31.419,48.6,138.34,34.9,231.58,51.2,79.7,70.33,121.01,65.7,40.56,84.99000000000001,131.77,144.28,91.25,88.7,289.54,148.44,178.86,180.98,116.72,413.74,46.17,30.75,30.200000000000003,101.24,82.85000000000001,322.51890000000003
2020-01-06,74.95,159.03,5.926500000000001,31.372000000000003,48.39,138.23,34.85,233.95,51.02,79.45,70.87,120.6,66.48,40.82,88.44,132.26,144.1,91.64,89.4,291.55,148.34,177.51,179.43,116.2,413.11,45.67,30.73,30.435000000000002,101.87,82.88000000000001,323.64
2020-01-07,74.5975,157.58,5.9982500000000005,31.264000000000006,48.25,135.88,34.620000000000005,235.49,50.92,78.76,70.29,119.06,66.48,40.61,89.29,132.51,144.98,89.2,88.89,289.79,146.38,177.61,178.07,116.0,414.5,46.26,30.53,30.355,101.67,82.71000000000001,322.73
2020-01-08,75.7975,160.09,6.0095,30.874000000000002,47.830000000000005,136.94,34.97,237.76,51.57,79.36,69.23,117.7,64.94,39.41,87.34,133.71,144.96,88.60000000000001,89.52000000000001,295.90000000000003,147.68,177.76,180.02,116.66,411.03,46.755,30.73,29.855,102.33,82.99000000000001,324.45
2020-01-09,77.4075,162.09,6.075500000000001,30.626,48.97,137.44,35.03,242.6,52.06,80.08,69.76,117.51,66.07000000000001,39.86,88.25,135.92000000000002,145.39,89.38000000000001,90.21,294.22,147.31,179.07,179.1,116.93,414.93,47.285,30.92,30.075000000000003,102.77,83.34,326.65000000000003
2020-01-10,77.58250000000001,161.34,6.1080000000000005,29.922000000000004,48.165,136.07,34.74,242.11,52.21,79.25,69.14,116.44,65.42,39.830000000000005,86.27000000000001,138.0,145.06,89.53,89.06,295.13,146.13,178.68,177.94,115.87,413.83,47.175,30.69,29.905,102.8,82.75,325.71
2020-01-13,79.24,163.28,6.2995,30.118000000000002,48.745000000000005,137.20000000000002,35.06,245.21,52.78,80.65,69.8,116.66,65.13000000000001,39.23,85.52000000000001,138.94,145.70000000000002,89.51,88.52000000000001,285.85,146.82,181.27,179.9,116.75,419.02,47.765,30.9,29.915000000000003,102.44,83.43,327.95
2020-01-14,78.17,162.13,6.182,30.818,48.21,138.8,35.32,245.66,52.86,81.91000000000001,69.2,116.3,65.14,39.53,86.33,140.65,146.52,89.93,88.2,288.24,146.68,180.45,180.8,117.27,416.14,47.54,30.84,29.92,103.06,83.44,327.45
2020-01-15,77.83500000000001,163.18,6.1392500000000005,30.314,48.545,136.72,34.67,245.21,52.940000000000005,81.24000000000001,69.09,116.13,65.0,38.33,86.74000000000001,141.11,147.01,91.54,89.26,296.41,145.57,180.73,180.8,117.93,420.95,47.595,30.67,29.700000000000003,103.95,83.57000000000001,328.09790000000004
2020-01-16,78.81,166.17000000000002,6.22325,30.705000000000002,49.77,137.25,34.72,249.72,56.440000000000005,81.0,68.82000000000001,116.89,65.07000000000001,38.78,87.02000000000001,141.43,148.20000000000002,91.18,89.26,300.74,147.87,182.26,183.9,118.61,425.7,48.235,30.94,29.75,104.49,84.4,330.85470000000004
2020-01-17,79.6825,167.1,6.232,30.879000000000005,50.93,138.20000000000002,34.71,249.46,57.510000000000005,81.12,68.56,115.58,65.07000000000001,38.370000000000005,85.31,139.58,149.17000000000002,90.97,88.0,298.47,147.78,183.23,185.32,118.6,425.66,48.56,31.03,29.560000000000002,104.49,84.41000000000001,332.1316
2020-01-21,79.1425,166.5,6.1985,30.807000000000002,51.05,136.84,34.260000000000005,245.7,55.92,79.9,67.58,113.31,64.03,36.95,84.04,140.91,149.27,89.97,87.99000000000001,300.53000000000003,145.85,180.93,182.46,117.39,426.15,48.54,30.770000000000003,29.03,104.6,83.48,331.3
2020-01-22,79.425,165.70000000000002,6.251250000000001,31.288,51.43,136.68,34.36,247.05,55.86,80.10000000000001,67.19,112.9,63.010000000000005,36.68,83.09,141.56,148.25,89.65,87.21000000000001,300.59000000000003,142.63,180.05,180.93,117.26,424.42,48.715,30.860000000000003,28.75,104.73,83.04,331.34000000000003
2020-01-23,79.8075,166.72,6.3215,31.965000000000003,51.71,136.54000000000002,33.9304,245.58,55.3004,79.8,66.77000000000001,112.3096,63.14,36.43,81.83,141.21,148.53,88.56,85.27000000000001,297.7004,142.75,179.58,187.19,116.93,428.78,48.6502,30.5296,28.2848,104.2,83.1496,330.5204
2020-01-24,79.5775,165.04000000000002,6.2620000000000005,32.4,50.35,133.15,33.54,241.92,54.55,78.42,66.32000000000001,111.85,62.620000000000005,35.77,79.85000000000001,139.07,148.32,85.98,83.54,292.81,140.38,177.13,185.68,116.66,432.5,48.715,30.39,28.310000000000002,102.46,83.55,328.77
2020-01-27,77.2375,162.28,6.005,30.903000000000006,49.260000000000005,132.03,32.85,238.14,53.11,76.71000000000001,64.74000000000001,110.39,61.040000000000006,33.96,76.64,138.31,148.75,86.10000000000001,84.02000000000001,284.09000000000003,135.73,173.54,178.47,114.92,432.38,47.555,29.92,27.525,101.68,81.97,323.5
