date,AAPL,MSFT,NVDA,AVGO,AMD,JPM,BAC,GS,MS,C,XOM,CVX,COP,SLB,EOG,LLY,JNJ,MRK,ABBV,UNH,CAT,HON,UNP,UPS,LMT,XLK,XLF,XLE,XLV,XLI,SPY
2020-01-02,135303676.0,22611967.0,236942320.0,19656280.0,80160699.0,10801771.0,37611653.0,3736302.0,7439712.0,12728377.0,12404387.0,5204943.0,4122461.0,8693994.0,2427561.0,1927232.0,5632078.0,7873275.0,5158285.0,2543290.0,3311822.0,2857359.0,2320912.0,4112483.0,1148010.0,26566188.0,28798665.0,23888146.0,6235986.0,16057179.0,58722535.0
2020-01-03,146234176.0,21109204.0,205195520.0,21622650.0,73083403.0,10386352.0,50354313.0,2274427.0,6548653.0,12437329.0,17332085.0,5994167.0,6332771.0,9506708.0,3682142.0,1818702.0,5676375.0,5632949.0,5738179.0,2697973.0,2970285.0,2805057.0,2284714.0,2408213.0,2919044.0,30023300.0,51363554.0,58978358.0,8206433.0,17446425.0,77665733.0
2020-01-06,118301700.0,19499106.0,255804560.0,20779950.0,47676582.0,10102830.0,40881538.0,3326466.0,7476494.0,10034309.0,20059902.0,9942330.0,8819686.0,15527061.0,8483551.0,2101182.0,6562538.0,6816124.0,6782148.0,2806597.0,2547508.0,3096834.0,3140861.0,3378860.0,2233664.0,15630030.0,27954566.0,44902692.0,6441509.0,16153056.0,55523018.0
2020-01-07,108802840.0,21609781.0,313733680.0,18385850.0,57903624.0,10544394.0,34149267.0,5382673.0,4566691.0,10470705.0,17410358.0,7858007.0,5976695.0,10971840.0,4320015.0,2448292.0,7385362.0,10623249.0,7242508.0,2493397.0,2847639.0,3002824.0,4099419.0,1976744.0,1065710.0,15363274.0,39627419.0,22923852.0,6335293.0,16675377.0,40325582.0
2020-01-08,131977200.0,27727737.0,276942280.0,31970040.0,53682304.0,9695030.0,45151980.0,3564588.0,6184730.0,11290358.0,15134510.0,7295753.0,6470002.0,11326233.0,5337256.0,5188523.0,6605754.0,14503693.0,7696308.0,3376718.0,2148475.0,2545477.0,2817509.0,2015978.0,1666919.0,23254190.0,47965017.0,38038192.0,7494630.0,10677738.0,68063308.0
2020-01-09,169901316.0,21362926.0,254994880.0,42374690.0,76320112.0,9467889.0,39851120.0,3976353.0,7300663.0,12887347.0,14804080.0,7343278.0,6005070.0,12186042.0,6908246.0,4521640.0,6003938.0,9264814.0,7516548.0,2827526.0,2270355.0,1788690.0,3310511.0,2151509.0,1063748.0,15554612.0,27703473.0,30364218.0,6660645.0,7407222.0,48294446.0
2020-01-10,140588320.0,20722288.0,316228560.0,40703820.0,44061015.0,10190259.0,39727838.0,2247629.0,7686631.0,10061464.0,11995420.0,6393316.0,7233056.0,8088653.0,2950609.0,4177584.0,5042456.0,5672797.0,8580867.0,2477911.0,2393632.0,1671675.0,2944337.0,2544261.0,987798.0,15330476.0,53456726.0,18301470.0,9300336.0,8856820.0,53005322.0
2020-01-13,121346944.0,20974328.0,311262280.0,22019090.0,34091601.0,12108010.0,37910254.0,3361488.0,8316004.0,16552180.0,9947714.0,6846079.0,3673813.0,11599511.0,3399279.0,5115882.0,4592510.0,9791459.0,9255644.0,6991450.0,3352962.0,2260351.0,2034969.0,1826153.0,986509.0,15516960.0,27387988.0,17544740.0,7425262.0,7596481.0,46016932.0
2020-01-14,161712348.0,23431699.0,358812200.0,28620020.0,38414198.0,23705395.0,66666703.0,4233182.0,9397153.0,24964637.0,16260061.0,6810865.0,6119285.0,13958698.0,4281708.0,4685200.0,7037462.0,8230636.0,8479999.0,6050902.0,2705743.0,2191123.0,2805888.0,2598588.0,961840.0,16116352.0,37511490.0,34606034.0,7253613.0,9649139.0,62744905.0
2020-01-15,121531672.0,21381434.0,262701000.0,22705140.0,40045926.0,16160079.0,74710905.0,5408696.0,11325155.0,16060510.0,11387493.0,5808731.0,3933190.0,13736094.0,2562454.0,3676469.0,4960235.0,9173655.0,8490076.0,6081115.0,2640540.0,2600798.0,3450725.0,3168271.0,833025.0,14415152.0,41450164.0,21652048.0,7521758.0,12014515.0,71190565.0
2020-01-16,110252772.0,23749191.0,283231880.0,21503680.0,58626513.0,10470249.0,50279242.0,3887913.0,34566958.0,10408730.0,13332368.0,6836236.0,4315174.0,11756420.0,5128592.0,3793240.0,6476007.0,6919821.0,7051955.0,3709067.0,3042884.0,2215378.0,3227285.0,2211393.0,1085096.0,11540878.0,33472970.0,16444760.0,5479892.0,9493158.0,51832594.0
2020-01-17,135343368.0,33466835.0,253583320.0,26420790.0,57299456.0,14599049.0,52996523.0,3053542.0,15257708.0,12399076.0,18047443.0,7863769.0,4737125.0,17516879.0,4542049.0,5388685.0,9081076.0,9624580.0,9992619.0,4335731.0,3309233.0,2592991.0,3989198.0,3397370.0,1194102.0,21660644.0,38299294.0,23812016.0,6533144.0,7013382.0,95164520.0
2020-01-21,110404816.0,29486556.0,217799880.0,21964090.0,48905417.0,8444716.0,50781029.0,2491416.0,20831587.0,10517677.0,17973891.0,8468349.0,6973875.0,16701023.0,4522666.0,4849495.0,9525698.0,9562181.0,13551817.0,4662646.0,2476459.0,2188513.0,3440829.0,2960298.0,1071411.0,17745090.0,41063372.0,34698970.0,6643593.0,13004981.0,77537260.0
2020-01-22,101510992.0,24101987.0,238893880.0,29237650.0,40520366.0,7547364.0,38872388.0,2030913.0,10275765.0,8044736.0,17027066.0,5588989.0,6747974.0,12788962.0,4030354.0,2742065.0,10304760.0,7442403.0,6437080.0,3117478.0,3601553.0,1881653.0,2993328.0,2423358.0,918522.0,15490248.0,27383219.0,29349202.0,9431495.0,7490548.0,48620724.0
2020-01-23,104176024.0,19628833.0,243146800.0,29582870.0,39673193.0,9344008.0,45691296.0,2806657.0,10064536.0,11617822.0,19593114.0,8007711.0,6198114.0,11840601.0,3368137.0,3138684.0,8671014.0,12592277.0,12263788.0,3169548.0,3182693.0,2434031.0,4950536.0,2493728.0,978360.0,14952398.0,43071592.0,26539812.0,8522574.0,10758508.0,51768817.0
