symbol,observations,volume_observations,raw_eod_path,price_field,volume_field,split_adjusted,dividend_adjusted,corporate_action_adjusted
AAPL,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=AAPL/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
MSFT,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=MSFT/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
NVDA,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=NVDA/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
AVGO,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=AVGO/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
AMD,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=AMD/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
JPM,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=JPM/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
BAC,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=BAC/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
GS,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=GS/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
MS,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=MS/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
C,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=C/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
XOM,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=XOM/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
CVX,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=CVX/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
COP,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=COP/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
SLB,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=SLB/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
EOG,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=EOG/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
LLY,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=LLY/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
JNJ,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=JNJ/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
MRK,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=MRK/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
ABBV,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=ABBV/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
UNH,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=UNH/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
CAT,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=CAT/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
HON,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=HON/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
UNP,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=UNP/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
UPS,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=UPS/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
LMT,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=LMT/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
XLK,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=XLK/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
XLF,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=XLF/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
XLE,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=XLE/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
XLV,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=XLV/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
XLI,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=XLI/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
SPY,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=SPY/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
