date,AAPL,MSFT,NVDA,AVGO,AMD,ADBE,CRM,CSCO,INTC,ORCL,QCOM,TXN,XLK,SPY,QQQ
2020-01-02,33825919,22611967,5923558,1965628,80160699,1989490,5076488,16704651,17708665,13205881,8412900,4306106,13283094,58722535,30914272
2020-01-03,36558544,21109204,5129888,2162265,73083403,1577616,3081068,15576990,14737826,10662506,8339389,3896700,15011650,77665733,27212248
2020-01-06,29575425,19499106,6395114,2077995,47676582,1874054,8830622,22172258,17064000,10975696,8048557,3522728,7815015,55523018,21613362
2020-01-07,27200710,21609781,7843342,1838585,57903624,2500323,8285116,16459066,21336315,12028035,8072701,7137560,7681637,40325582,22160019
2020-01-08,32994300,27727737,6923557,3197004,53682304,2247880,7166922,24916534,23130409,11856655,7617743,3402902,11627095,68063308,26356599
2020-01-09,42475329,21362926,6374872,4237469,76320112,1625991,5951020,18201916,18797842,10669321,9147917,3524395,7777306,48294446,23500554
2020-01-10,35147080,20722288,7905714,4070382,44061015,1480336,5111393,13501610,15200458,9734775,9666953,3234013,7665238,53005322,21895937
2020-01-13,30336736,20974328,7781557,2201909,34091601,1959173,6112272,18232684,16439826,10856220,10363853,4311407,7758480,46016932,22739572
2020-01-14,40428087,23431699,8970305,2862002,38414198,2274378,4341119,17948482,16520348,12557390,7799885,4595280,8058176,62744905,23897967
2020-01-15,30382918,21381434,6567525,2270514,40045926,2213150,3886164,16276537,18493848,9090650,7256080,3392289,7207576,71190565,25626706
2020-01-16,27563193,23749191,7080797,2150368,58626513,2439052,3483962,19203129,21291156,9865546,9286139,5475902,5770439,51832594,18636992
2020-01-17,33835842,33466835,6339583,2642079,57299456,2531209,4567070,27041678,21748410,11160122,23587791,5486030,10830322,95164520,23765632
2020-01-21,27601204,29486556,5444997,2196409,48905417,2120722,6301191,21767769,28340108,8773029,10853052,8630881,8872545,77537260,20903716
2020-01-22,25377748,24101987,5972347,2923765,40520366,1600267,4780287,15182420,29432987,6379240,8330978,8795844,7745124,48620724,20656854
2020-01-23,26044006,19628833,6078670,2958287,39673193,2084262,4365602,16761625,41197175,6583171,11264295,8592631,7476199,51768817,26319788
2020-01-24,36556883,24892220,9328504,5573669,79830349,1639401,4651732,14065291,84630121,6424926,9467932,5606770,11752255,87323583,36924559
2020-01-27,40034022,31322006,11725724,3864930,48580071,2588099,4238581,20558290,30745991,8229829,9232502,5712738,17771077,83729441,41095446
2020-01-28,39677665,24740149,7737612,2312320,60168279,2269464,3444198,14027227,30873223,8620187,9136487,4395064,15582436,63417341,26455899
2020-01-29,53995902,33938615,6438075,2355694,112210148,1520356,2785166,14188322,17782881,6273237,8150856,4532413,10547566,53672532,28729239
2020-01-30,31580446,51505133,7246736,2109817,70109159,1833145,3714947,14806207,18499624,7175071,8360994,5519321,9958272,74989120,39292925
2020-01-31,49713376,36094342,9242803,2209884,59979662,3690894,4189897,20062707,25251128,8884662,9493081,5780249,13437795,113538778,51915440
2020-02-03,43413786,30088124,6382639,2128477,46924055,2692060,4754979,15368836,16641809,8879760,7790724,5396196,12535659,68844148,25335151
2020-02-04,34037612,36368519,6770913,2255324,46121385,3050511,3982501,13937313,20959401,9769796,9219327,4434134,9544760,60611591,30495781
2020-02-05,29639656,39123703,5199568,2481576,42588567,2459644,6161763,17038162,23376712,9612680,13656127,7279643,16346159,64622898,38434592
2020-02-06,25550084,27667119,5442245,2267307,48548039,2224239,4102027,9802695,17366277,8822846,21037655,3683877,6584843,49368474,22263942
2020-02-07,29327735,33489760,4734791,1588161,52967113,2092582,3711939,16807339,18118372,7864051,10717586,4330853,8294855,63938471,25814732
2020-02-10,27252046,35747751,13206493,1921006,60703868,2426707,3872346,19005412,22282323,7198166,7460043,2882461,8171819,41703638,21333557
2020-02-11,23524825,53053400,15922673,1550499,74416930,2004694,4298046,23096272,17966039,8466025,9442706,2986732,7550499,54692348,30067679
2020-02-12,28210907,46923422,9257682,1529028,45653185,2354904,4532076,30878086,15543254,7538831,9787232,2837769,6073645,42784273,23862705
2020-02-13,23606118,35235694,12526888,1382838,51283275,1915717,3128665,47011166,11599553,8480140,8424973,4268692,7397526,53941249,22671567
2020-02-14,19998394,23101631,26025757,1913083,52226721,1690283,3598611,26730771,13403405,7496736,6254958,2605228,6195029,64469325,23409166
2020-02-18,38120781,27773300,15485393,2669258,70076336,2074180,4956537,18545544,12757489,7185644,7246909,3094393,10316290,57146414,24369811
2020-02-19,23428873,29869768,17242920,2051771,58342579,2580320,3901305,27596822,13534708,6819242,7816551,3931530,8303487,48370187,22052386
2020-02-20,24532990,36731541,20208530,2530359,73948389,3788131,5448941,20399297,26429725,6114630,9749726,2487734,13161158,73816643,42022368
2020-02-21,32312913,48544127,19190700,2452067,88371769,2742554,5240681,20028580,20775528,9078635,11592007,4120970,14945835,113299645,65068775
2020-02-24,55320581,68193426,21257237,3676770,86123729,3920919,8452874,35268921,26853188,10991791,12150976,7482138,21171905,160071453,83671139
2020-02-25,56633361,67870684,26300714,3184453,88201543,4184070,11174545,47984635,34439780,12199987,14711202,6346626,31458732,216247051,95735158
2020-02-26,49476222,56030193,18681094,2306669,86160158,3487619,13917846,38508214,26176968,16412441,13118331,5777634,27869168,192581595,79348310
2020-02-27,79660094,92907671,22531017,3475399,105541725,4732439,9910690,51403848,42193944,16159153,17863806,8686605,33888098,281903453,120270065
