date,AAPL,MSFT,NVDA,AVGO,AMD,ADBE,CRM,CSCO,INTC,ORCL,QCOM,TXN,XLK,SPY,QQQ
2020-01-02,135303676.0,22611967.0,236942320.0,19656280.0,80160699.0,1989490.0,5076488.0,16704651.0,17708665.0,13205881.0,8412900.0,4306106.0,26566188.0,58722535.0,30914272.0
2020-01-03,146234176.0,21109204.0,205195520.0,21622650.0,73083403.0,1577616.0,3081068.0,15576990.0,14737826.0,10662506.0,8339389.0,3896700.0,30023300.0,77665733.0,27212248.0
2020-01-06,118301700.0,19499106.0,255804560.0,20779950.0,47676582.0,1874054.0,8830622.0,22172258.0,17064000.0,10975696.0,8048557.0,3522728.0,15630030.0,55523018.0,21613362.0
2020-01-07,108802840.0,21609781.0,313733680.0,18385850.0,57903624.0,2500323.0,8285116.0,16459066.0,21336315.0,12028035.0,8072701.0,7137560.0,15363274.0,40325582.0,22160019.0
2020-01-08,131977200.0,27727737.0,276942280.0,31970040.0,53682304.0,2247880.0,7166922.0,24916534.0,23130409.0,11856655.0,7617743.0,3402902.0,23254190.0,68063308.0,26356599.0
2020-01-09,169901316.0,21362926.0,254994880.0,42374690.0,76320112.0,1625991.0,5951020.0,18201916.0,18797842.0,10669321.0,9147917.0,3524395.0,15554612.0,48294446.0,23500554.0
2020-01-10,140588320.0,20722288.0,316228560.0,40703820.0,44061015.0,1480336.0,5111393.0,13501610.0,15200458.0,9734775.0,9666953.0,3234013.0,15330476.0,53005322.0,21895937.0
2020-01-13,121346944.0,20974328.0,311262280.0,22019090.0,34091601.0,1959173.0,6112272.0,18232684.0,16439826.0,10856220.0,10363853.0,4311407.0,15516960.0,46016932.0,22739572.0
2020-01-14,161712348.0,23431699.0,358812200.0,28620020.0,38414198.0,2274378.0,4341119.0,17948482.0,16520348.0,12557390.0,7799885.0,4595280.0,16116352.0,62744905.0,23897967.0
2020-01-15,121531672.0,21381434.0,262701000.0,22705140.0,40045926.0,2213150.0,3886164.0,16276537.0,18493848.0,9090650.0,7256080.0,3392289.0,14415152.0,71190565.0,25626706.0
2020-01-16,110252772.0,23749191.0,283231880.0,21503680.0,58626513.0,2439052.0,3483962.0,19203129.0,21291156.0,9865546.0,9286139.0,5475902.0,11540878.0,51832594.0,18636992.0
2020-01-17,135343368.0,33466835.0,253583320.0,26420790.0,57299456.0,2531209.0,4567070.0,27041678.0,21748410.0,11160122.0,23587791.0,5486030.0,21660644.0,95164520.0,23765632.0
2020-01-21,110404816.0,29486556.0,217799880.0,21964090.0,48905417.0,2120722.0,6301191.0,21767769.0,28340108.0,8773029.0,10853052.0,8630881.0,17745090.0,77537260.0,20903716.0
2020-01-22,101510992.0,24101987.0,238893880.0,29237650.0,40520366.0,1600267.0,4780287.0,15182420.0,29432987.0,6379240.0,8330978.0,8795844.0,15490248.0,48620724.0,20656854.0
2020-01-23,104176024.0,19628833.0,243146800.0,29582870.0,39673193.0,2084262.0,4365602.0,16761625.0,41197175.0,6583171.0,11264295.0,8592631.0,14952398.0,51768817.0,26319788.0
2020-01-24,146227532.0,24892220.0,373140160.0,55736690.0,79830349.0,1639401.0,4651732.0,14065291.0,84630121.0,6424926.0,9467932.0,5606770.0,23504510.0,87323583.0,36924559.0
2020-01-27,160136088.0,31322006.0,469028960.0,38649300.0,48580071.0,2588099.0,4238581.0,20558290.0,30745991.0,8229829.0,9232502.0,5712738.0,35542154.0,83729441.0,41095446.0
2020-01-28,158710660.0,24740149.0,309504480.0,23123200.0,60168279.0,2269464.0,3444198.0,14027227.0,30873223.0,8620187.0,9136487.0,4395064.0,31164872.0,63417341.0,26455899.0
2020-01-29,215983608.0,33938615.0,257523000.0,23556940.0,112210148.0,1520356.0,2785166.0,14188322.0,17782881.0,6273237.0,8150856.0,4532413.0,21095132.0,53672532.0,28729239.0
2020-01-30,126321784.0,51505133.0,289869440.0,21098170.0,70109159.0,1833145.0,3714947.0,14806207.0,18499624.0,7175071.0,8360994.0,5519321.0,19916544.0,74989120.0,39292925.0
2020-01-31,198853504.0,36094342.0,369712120.0,22098840.0,59979662.0,3690894.0,4189897.0,20062707.0,25251128.0,8884662.0,9493081.0,5780249.0,26875590.0,113538778.0,51915440.0
2020-02-03,173655144.0,30088124.0,255305560.0,21284770.0,46924055.0,2692060.0,4754979.0,15368836.0,16641809.0,8879760.0,7790724.0,5396196.0,25071318.0,68844148.0,25335151.0
