symbol,observations,volume_observations,raw_eod_path,price_field,volume_field,split_adjusted,dividend_adjusted,corporate_action_adjusted
AAPL,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=AAPL/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
MSFT,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=MSFT/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
NVDA,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=NVDA/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
AVGO,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=AVGO/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
AMD,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=AMD/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
ADBE,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=ADBE/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
CRM,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=CRM/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
CSCO,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=CSCO/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
INTC,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=INTC/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
ORCL,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=ORCL/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
QCOM,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=QCOM/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
TXN,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=TXN/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
XLK,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=XLK/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
SPY,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=SPY/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
QQQ,1508,1508,research/raw_data_cache/thetadata/thetadata_raw/eod/symbol=QQQ/part.parquet,split_adjusted_close,split_adjusted_volume,True,False,False
